points,coaches,leage,code,season,wins,loses,overtime_loses,team_name,points_percentage,playoff_result,ties,games_played,finishing_position
0,"[{'link': '/coaches/peterbi99c.html', 'name': 'B. Peters'}]",NHL,CAR,2017-18,0,0,0,Carolina Hurricanes,0,,0,0,
87,"[{'link': '/coaches/peterbi99c.html', 'name': 'B. Peters'}]",NHL,CAR,2016-17,36,31,15,Carolina Hurricanes,.530,,0,82,7th
86,"[{'link': '/coaches/peterbi99c.html', 'name': 'B. Peters'}]",NHL,CAR,2015-16,35,31,16,Carolina Hurricanes,.524,,0,82,6th
71,"[{'link': '/coaches/peterbi99c.html', 'name': 'B. Peters'}]",NHL,CAR,2014-15,30,41,11,Carolina Hurricanes,.433,,0,82,8th
83,"[{'link': '/coaches/mulleki01c.html', 'name': 'K. Muller'}]",NHL,CAR,2013-14,36,35,11,Carolina Hurricanes,.506,,0,82,7th
42,"[{'link': '/coaches/mulleki01c.html', 'name': 'K. Muller'}]",NHL,CAR,2012-13,19,25,4,Carolina Hurricanes,.438,,0,48,3rd
82,"[{'link': '/coaches/mauripa99c.html', 'name': 'P. Maurice'}, {'link': '/coaches/mulleki01c.html', 'name': 'K. Muller'}]",NHL,CAR,2011-12,33,33,16,Carolina Hurricanes,.500,,0,82,5th
91,"[{'link': '/coaches/mauripa99c.html', 'name': 'P. Maurice'}]",NHL,CAR,2010-11,40,31,11,Carolina Hurricanes,.555,,0,82,3rd
80,"[{'link': '/coaches/mauripa99c.html', 'name': 'P. Maurice'}]",NHL,CAR,2009-10,35,37,10,Carolina Hurricanes,.488,,0,82,3rd
97,"[{'link': '/coaches/laviope01c.html', 'name': 'P. Laviolette'}, {'link': '/coaches/mauripa99c.html', 'name': 'P. Maurice'}]",NHL,CAR,2008-09,45,30,7,Carolina Hurricanes,.591,Lost NHL Conference Finals,0,82,2nd
92,"[{'link': '/coaches/laviope01c.html', 'name': 'P. Laviolette'}]",NHL,CAR,2007-08,43,33,6,Carolina Hurricanes,.561,,0,82,2nd
88,"[{'link': '/coaches/laviope01c.html', 'name': 'P. Laviolette'}]",NHL,CAR,2006-07,40,34,8,Carolina Hurricanes,.537,,0,82,3rd
112,"[{'link': '/coaches/laviope01c.html', 'name': 'P. Laviolette'}]",NHL,CAR,2005-06,52,22,8,Carolina Hurricanes,.683,,0,82,1st
76,"[{'link': '/coaches/mauripa99c.html', 'name': 'P. Maurice'}, {'link': '/coaches/laviope01c.html', 'name': 'P. Laviolette'}]",NHL,CAR,2003-04,28,34,6,Carolina Hurricanes,.463,,14,82,3rd
61,"[{'link': '/coaches/mauripa99c.html', 'name': 'P. Maurice'}]",NHL,CAR,2002-03,22,43,6,Carolina Hurricanes,.372,,11,82,5th
91,"[{'link': '/coaches/mauripa99c.html', 'name': 'P. Maurice'}]",NHL,CAR,2001-02,35,26,5,Carolina Hurricanes,.555,Lost Stanley Cup Final,16,82,1st
88,"[{'link': '/coaches/mauripa99c.html', 'name': 'P. Maurice'}]",NHL,CAR,2000-01,38,32,3,Carolina Hurricanes,.537,Lost NHL Conference Quarter-Finals,9,82,2nd
84,"[{'link': '/coaches/mauripa99c.html', 'name': 'P. Maurice'}]",NHL,CAR,1999-00,37,35,0,Carolina Hurricanes,.512,,10,82,3rd
86,"[{'link': '/coaches/mauripa99c.html', 'name': 'P. Maurice'}]",NHL,CAR,1998-99,34,30,0,Carolina Hurricanes,.524,Lost NHL Conference Quarter-Finals,18,82,1st
74,"[{'link': '/coaches/mauripa99c.html', 'name': 'P. Maurice'}]",NHL,CAR,1997-98,33,41,0,Carolina Hurricanes,.451,,8,82,6th
75,"[{'link': '/coaches/mauripa99c.html', 'name': 'P. Maurice'}]",NHL,HAR,1996-97,32,39,0,Hartford Whalers,.457,,11,82,5th
77,"[{'link': '/coaches/holmgpa01c.html', 'name': 'P. Holmgren'}, {'link': '/coaches/mauripa99c.html', 'name': 'P. Maurice'}]",NHL,HAR,1995-96,34,39,0,Hartford Whalers,.470,,9,82,4th
43,"[{'link': '/coaches/holmgpa01c.html', 'name': 'P. Holmgren'}]",NHL,HAR,1994-95,19,24,0,Hartford Whalers,.448,,5,48,5th
63,"[{'link': '/coaches/holmgpa01c.html', 'name': 'P. Holmgren'}, {'link': '/coaches/mcguipi99c.html', 'name': 'P. McGuire'}]",NHL,HAR,1993-94,27,48,0,Hartford Whalers,.375,,9,84,6th
58,"[{'link': '/coaches/holmgpa01c.html', 'name': 'P. Holmgren'}]",NHL,HAR,1992-93,26,52,0,Hartford Whalers,.345,,6,84,5th
65,"[{'link': '/coaches/roberji01c.html', 'name': 'J. Roberts'}]",NHL,HAR,1991-92,26,41,0,Hartford Whalers,.406,Lost NHL Division Semi-Finals,13,80,4th
73,"[{'link': '/coaches/leyri01c.html', 'name': 'R. Ley'}]",NHL,HAR,1990-91,31,38,0,Hartford Whalers,.456,Lost NHL Division Semi-Finals,11,80,4th
85,"[{'link': '/coaches/leyri01c.html', 'name': 'R. Ley'}]",NHL,HAR,1989-90,38,33,0,Hartford Whalers,.531,Lost NHL Division Semi-Finals,9,80,4th
79,"[{'link': '/coaches/pleaula01c.html', 'name': 'L. Pleau'}]",NHL,HAR,1988-89,37,38,0,Hartford Whalers,.494,Lost NHL Division Semi-Finals,5,80,4th
77,"[{'link': '/coaches/evansja01c.html', 'name': 'J. Evans'}, {'link': '/coaches/pleaula01c.html', 'name': 'L. Pleau'}]",NHL,HAR,1987-88,35,38,0,Hartford Whalers,.481,Lost NHL Division Semi-Finals,7,80,4th
93,"[{'link': '/coaches/evansja01c.html', 'name': 'J. Evans'}]",NHL,HAR,1986-87,43,30,0,Hartford Whalers,.581,Lost NHL Division Semi-Finals,7,80,1st
84,"[{'link': '/coaches/evansja01c.html', 'name': 'J. Evans'}]",NHL,HAR,1985-86,40,36,0,Hartford Whalers,.525,Lost NHL Division Finals,4,80,4th
69,"[{'link': '/coaches/evansja01c.html', 'name': 'J. Evans'}]",NHL,HAR,1984-85,30,41,0,Hartford Whalers,.431,,9,80,5th
66,"[{'link': '/coaches/evansja01c.html', 'name': 'J. Evans'}]",NHL,HAR,1983-84,28,42,0,Hartford Whalers,.413,,10,80,5th
