shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
1.8,1969-70,37,5,,0,57,2,1,-21,7,LAK,1,20,0,NHL,0,,49,8,[],0
5.6,1970-71,52,10,,0,72,0,4,-16,10,LAK,4,21,0,NHL,0,,70,14,[],0
3.6,1971-72,16,2,,0,28,0,1,3,2,TOT,1,22,0,NHL,0,,31,3,[],0
5.9,1971-72,14,2,,0,17,0,1,-2,2,LAK,1,22,0,NHL,0,,10,3,[],0
0.0,1971-72,2,0,,0,11,0,0,5,0,MTL,0,22,0,NHL,0,,21,0,[],0
0.0,1972-73,2,2,,0,17,0,0,4,2,MTL,0,23,0,NHL,0,,25,2,[],0
0,1973-74,27,0,,0,0,0,6,0,33,QBN,8,24,0,WHA,0,,62,41,[],2
4.1,1974-75,47,0,,0,221,0,5,0,35,QBN,9,25,0,WHA,1,,78,44,[],3
4.7,1975-76,18,0,,0,64,0,2,21,14,QBN,3,26,0,WHA,0,,45,17,[],1
5.4,1976-77,48,0,,0,129,0,4,1,48,BRB,7,27,0,WHA,0,,81,55,[],3
1.9,1977-78,29,0,,0,54,0,1,-6,12,BRB,1,28,0,WHA,0,,43,13,[],0
2.2,1978-79,17,0,,0,90,0,1,1,19,QBN,2,29,0,WHA,0,,69,21,[],1
4.0,1979-80,31,18,,0,99,18,4,-42,36,QUE,4,30,0,NHL,0,,77,40,[],0
5.4,1980-81,32,10,,0,56,4,2,-8,14,QUE,3,31,0,NHL,0,,61,17,[],1
0.0,1981-82,16,5,,1,14,0,0,-24,6,QUE,0,32,0,NHL,0,,30,6,[],0
