game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
0,-1,0,0,11,0,1985-86,0,0,0,0,,NHL,0,0,19,0,[],0,0,,WIN
0,-1,3,0,6,0,1986-87,0,0,0,0,,NHL,0.0,0,20,0,[],0,0,,WIN
0,-1,2,0,4,2,1987-88,2,0,0,0,,NHL,0.0,0,21,0,[],2,0,,WIN
0,8,63,0,36,6,1989-90,6,0,5,1,,NHL,7.9,0,23,15,[],11,4,,BOS
1,-12,46,0,39,2,1990-91,2,0,5,1,,NHL,10.9,0,24,9,[],7,4,,BOS
1,9,107,0,54,13,1991-92,13,0,10,0,,NHL,9.3,0,25,10,[],23,10,,BOS
0,5,33,0,19,4,1992-93,4,1,4,0,,NHL,12.1,0,26,4,[],8,3,,BOS
1,-5,142,0,74,22,1993-94,17,0,12,1,,NHL,8.5,5,27,21,[],34,11,,MDA
4,4,69,0,46,11,1994-95,11,0,10,0,,NHL,14.5,0,28,12,[],21,10,,MDA
3,-3,45,0,31,7,1995-96,5,0,8,2,,NHL,17.8,2,29,9,[],15,6,,MDA
0,-1,3,0,1,0,1997-98,0,0,0,0,,NHL,0.0,0,31,0,[],0,0,,DAL
