assists,year,games_played,points,goals,team,age,pim,plus_minus,league
15,1983-84,37,34,19,U. of New Hampshire,17,14,0,ECAC
24,1984-85,42,51,27,U. of New Hampshire,18,34,0,H-East
7,1985-86,33,23,16,Canada,19,18,0,Nat-Tm
2,1985-86,7,6,4,Canada,19,6,0,WJC-A
28,1986-87,62,42,14,Sherbrooke Canadiens,20,24,0,AHL
37,1987-88,73,79,42,Moncton Hawks,21,53,0,AHL
41,1988-89,81,69,28,Peoria Rivermen,22,32,0,IHL
20,1989-90,38,37,17,Maine Mariners,23,14,0,AHL
15,1990-91,35,31,16,Maine Mariners,24,9,0,AHL
3,1991-92,12,7,4,Maine Mariners,25,2,0,AHL
26,1992-93,50,55,29,Providence Bruins,26,12,0,AHL
36,1996-97,80,72,36,Milwaukee Admirals,30,14,0,IHL
31,1997-98,78,57,26,Michigan K-Wings,31,29,-6,IHL
26,1998-99,51,43,17,EV Landshut,32,59,0,Germany
34,1999-00,56,52,18,Munchen Barons,33,24,0,Germany
6,2000-01,23,18,12,Munchen Barons,34,14,0,Germany
28,2001-02,60,46,18,Munchen Barons,35,12,0,Germany
