assists,team,goals,year,games_played,points,pim,age,plus_minus,league
7,St. Catharines Teepees,2,1959-60,17,9,6,19,0,OHA-Jr.
9,St. Catharines Teepees,7,1959-60,14,16,8,19,0,M-Cup
1,St. Catharines Teepees,3,1960-61,6,4,2,20,0,OHA-Jr.
2,Sault Ste. Marie Thunderbirds,0,1960-61,8,2,2,20,0,EPHL
1,Buffalo Bisons,3,1961-62,11,4,4,21,0,AHL
4,St. Louis Braves,2,1963-64,6,6,0,23,0,CPHL
0,Pittsburgh Hornets,0,1964-65,4,0,4,24,0,AHL
3,Pittsburgh Hornets,0,1965-66,3,3,0,25,-1,AHL
9,Rochester Americans,5,1967-68,11,14,2,27,0,AHL
3,Vancouver Canucks,2,1968-69,8,5,0,28,0,WHL
11,Vancouver Canucks,10,1969-70,11,21,10,29,0,WHL
