game_winning_goals,takeaways,plus_minus,shots,faceoff_loses,shorthanded_assists,games_played,assists,faceoff_wins,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,pim,league,shotsPercentage,power_play_assists,hits,faceoff_percentage,blocks,age,total_shots,average_ice_time,awards,points,giveaways,even_strength_goals,total_ice_time,team
1,14,5,52,0,0,51,17,0,2009-10,9,0,4,3,21,NHL,7.7,8,42,0,40,21,115,15:26,[],21,32,1,787,SJS
0,30,19,105,0,0,75,22,0,2010-11,16,0,2,0,28,NHL,1.9,6,87,0,72,22,245,19:30,[],24,49,2,1462,SJS
1,11,-8,73,0,0,57,9,0,2011-12,6,0,4,2,22,NHL,5.5,3,60,0,58,23,157,16:51,[],13,27,2,960,SJS
0,6,-4,27,0,0,22,2,0,2012-13,2,0,1,0,10,NHL,3.7,0,32,0,24,24,69,18:38,[],3,12,1,410,SJS
0,40,14,105,0,1,75,29,0,2013-14,20,0,5,1,30,NHL,4.8,8,69,0,107,25,229,19:29,[],34,69,4,1462,SJS
2,37,-3,99,0,0,81,20,0,2014-15,17,0,5,2,71,NHL,5.1,3,118,0,85,26,251,19:08,[],25,49,3,1549,TOT
0,9,-6,20,0,0,20,3,0,2014-15,3,0,0,0,8,NHL,0.0,0,30,0,16,26,65,18:11,[],3,11,0,364,SJS
2,28,3,79,0,0,61,17,0,2014-15,14,0,5,2,63,NHL,6.3,3,88,0,69,26,186,19:26,[],22,38,3,1185,DAL
1,28,16,94,0,0,62,16,0,2015-16,14,1,7,3,72,NHL,7.4,2,86,0,73,27,231,20:52,[],23,41,3,1294,DAL
2,19,-14,98,1,2,81,19,0,2016-17,12,0,9,0,53,NHL,9.2,5,106,0.0,90,28,199,19:37,[],28,31,9,1588,FLA
