assists,year,games_played,points,goals,team,age,pim,plus_minus,league
23,1992-93,41,43,20,Ste-Foy Gouverneurs,15,10,0,QAAA
22,1993-94,46,33,11,Granby Bisons,16,25,0,QMJHL
4,1993-94,5,6,2,Canada,16,2,0,U-18
36,1994-95,72,54,18,Granby Bisons,17,48,0,QMJHL
75,1995-96,67,120,45,Granby Predateurs,18,45,0,QMJHL
56,1996-97,59,92,36,Granby Predateurs,19,28,0,QMJHL
19,1997-98,76,29,10,Adirondack Red Wings,20,47,-13,AHL
29,1998-99,77,44,15,Cleveland Lumberjacks,21,36,7,IHL
6,1999-00,20,8,2,Detroit Vipers,22,18,-11,IHL
1,1999-00,2,1,0,Toledo Storm,22,0,2,ECHL
28,1999-00,42,45,17,Quebec Citadelles,22,8,4,AHL
29,2000-01,62,47,18,Quebec Citadelles,23,34,-7,AHL
17,2001-02,50,25,8,Quebec Citadelles,24,19,-4,AHL
9,2002-03,28,14,5,Augsburger Panther,25,12,0,Germany
16,2003-04,43,36,20,Augsburger Panther,26,36,0,Germany
18,2004-05,51,32,14,Grizzly Adams Wolfsburg,27,28,0,Germany
33,2005-06,51,61,28,EHC Wolfsburg,28,45,0,German-2
