assists,year,games_played,points,goals,team,age,pim,plus_minus,league
0,1929-30,10,1,1,Capreol Caps,14,0,0,OHA-Sr.
0,1930-31,12,4,4,Capreol Caps,15,4,0,OHA-Sr.
1,1931-32,9,7,6,Stratford Midgets,16,6,0,OHA-Jr.
7,1932-33,14,29,22,Stratford Midgets,17,30,0,OHA
13,1933-34,15,47,34,Stratford Midgets,18,27,0,OHA-Jr.
40,1934-35,37,85,45,2 Teams,19,18,0,NBSHL
13,1934-35,20,23,10,Charlottetown Islanders,19,16,0,NBSHL
27,1934-35,17,62,35,Saint John Beavers,19,2,0,NBSHL
2,1935-36,9,3,1,London Tecumsehs,20,4,0,IHL
8,1939-40,22,15,7,Providence Reds,24,8,0,IAHL
29,1940-41,53,44,15,Cleveland Barons,25,13,0,AHL
24,1941-42,56,48,24,Cleveland Barons,26,26,0,AHL
12,1942-43,19,33,21,Victoria Army,27,16,0,NNDHL
3,1943-44,14,10,7,Nanaimo Clippers,28,10,0,PCHL
2,1943-44,3,2,0,Vancouver Army,28,0,0,NNDHL
31,1944-45,31,45,14,Toronto Army Shamrocks,29,18,0,TIHL
10,1944-45,4,14,4,Toronto Army Daggers,29,0,0,TNDHL
2,1944-45,3,4,2,Toronto Army Daggers,29,0,0,OHA-Sr.
3,1945-46,30,9,6,New Haven Ramblers,30,10,0,AHL
13,1945-46,23,19,6,Fort Worth Rangers,30,0,0,USHL
23,1946-47,49,39,16,Dallas Texans,31,8,0,USHL
21,1947-48,53,26,5,San Diego/Fresno,32,16,0,PCHL
1,1949-50,12,1,0,Renfrew Lions,34,2,0,EOHL
4,1951-52,16,7,3,Renfrew Millionaires,36,2,0,EOHL
