pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,Saskatoon Pats,1,0,6,N-SJHL,6,1924-25,17,5
0,Saskatoon Wesleys,2,0,9,N-SJHL,10,1925-26,18,7
0,Saskatoon Collegiate,0,0,1,N-SJHL,3,1927-28,20,1
33,Oakland Sheiks,7,0,20,Cal-Pro,20,1928-29,21,13
34,Oakland Sheiks,21,0,45,Cal-Pro,24,1929-30,22,24
61,Providence Reds,11,0,27,Can-Am,33,1930-31,23,16
9,Boston Cubs,2,0,3,Can-Am,7,1931-32,24,1
70,Boston Cubs,26,0,42,Can-Am,42,1932-33,25,16
30,Detroit Olympics,6,0,17,IHL,26,1933-34,26,11
50,Cleveland Falcons,21,0,41,IHL,37,1934-35,27,20
29,Cleveland Falcons,19,0,46,IHL,44,1935-36,28,27
18,Cleveland Barons,16,0,36,IAHL,43,1936-37,29,20
46,Cleveland Barons,27,0,40,IAHL,43,1937-38,30,13
27,Cleveland Barons,15,0,29,IAHL,54,1939-40,32,14
26,Cleveland Barons,22,0,31,AHL,54,1940-41,33,9
32,Cleveland Barons,32,0,40,AHL,54,1941-42,34,8
28,Cleveland Barons,21,0,26,AHL,51,1942-43,35,5
2,Cleveland Barons,3,0,5,AHL,4,1943-44,36,2
2,Coast Guard Clippers,18,0,34,Exhib.,31,1943-44,36,16
30,Oakland Oaks,30,0,47,PCHL,37,1945-46,38,17
