assists,year,games_played,points,goals,team,age,pim,plus_minus,league
10,1989-90,35,17,7,Clarkson Knights,19,24,0,ECAC
23,1990-91,39,36,13,Clarkson Knights,20,26,0,ECAC
31,1991-92,32,51,20,Clarkson Knights,21,40,0,ECAC
26,1992-93,35,44,18,Clarkson Knights,22,58,0,ECAC
25,1993-94,54,40,15,Indianapolis Ice,23,63,0,IHL
11,1994-95,62,27,16,Indianapolis Ice,24,29,0,IHL
8,1995-96,16,16,8,Indianapolis Ice,25,10,0,IHL
40,1996-97,77,72,32,Indianapolis Ice,26,53,0,IHL
5,2000-01,14,11,6,Norfolk Admirals,30,4,7,AHL
16,2001-02,52,36,20,2 Teams,31,22,3,AHL
3,2001-02,16,10,7,Norfolk Admirals,31,6,4,AHL
13,2001-02,36,26,13,Milwaukee Admirals,31,16,-1,AHL
5,2002-03,6,6,1,Worcester IceCats,32,4,1,AHL
