pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,Saskatoon Jr. Quakers,5,0,14,N-SJHL,6,1941-42,16,9
0,Saskatoon Jr. Quakers,0,0,1,M-Cup,3,1941-42,16,1
2,Saskatoon Jr. Quakers,1,0,5,N-SJHL,3,1942-43,17,4
2,Saskatoon Jr. Quakers,7,0,21,M-Cup,8,1942-43,17,14
2,Univerity of Saskatchewan,1,0,4,SAHA,1,1943-44,18,3
2,Saskatoon Navy,1,0,2,SSHL,2,1943-44,18,1
4,University of Saskatchewan,1,0,2,M-Cup,2,1943-44,18,1
10,Flin Flon Bombers,3,0,4,Al-Cup,4,1943-44,18,1
0,Univerity of Saskatchewan,1,0,2,N-SJHL,2,1944-45,19,1
2,Moose Jaw Canucks,3,0,7,S-SJHL,4,1944-45,19,4
0,Cleveland Barons,0,0,1,AHL,5,1951-52,26,1
0,Calgary Stampeders,6,0,11,WHL,9,1954-55,29,5
8,Calgary Stampeders,7,0,10,WHL,8,1955-56,30,3
0,Calgary Stampeders,0,0,1,WHL,3,1956-57,31,1
0,Saskatoon Quakers,13,0,20,SSHL,7,1959-60,34,7
0,Saskatoon Quakers,1,0,3,Al-Cup,5,1959-60,34,2
