assists,year,games_played,points,goals,team,age,pim,plus_minus,league
0,1984-85,5,1,1,Traktor Chelyabinsk,17,2,0,USSR
0,1984-85,5,4,4,Soviet Union,17,6,0,EJC-A
5,1985-86,39,16,11,Traktor Chelyabinsk,18,22,0,USSR
1,1985-86,7,4,3,Soviet Union,18,2,0,WJC-A
2,1986-87,32,13,11,CSKA Moscow,19,8,0,USSR
0,1986-87,6,3,3,Soviet Union,19,4,0,WJC-A
7,1987-88,44,23,16,CSKA Moscow,20,18,0,USSR
7,1988-89,35,16,9,CSKA Moscow,21,4,0,USSR
2,1988-89,7,5,3,CSKA Moscow,21,2,0,Super-S
6,1989-90,44,23,17,CSKA Moscow,22,16,0,USSR
1,1989-90,5,6,5,CSKA Moscow,22,2,0,Super-S
4,1989-90,9,9,5,Soviet Union,22,6,0,WEC-A
10,1990-91,44,20,10,CSKA Moscow,23,26,0,USSR
0,1990-91,1,0,0,CSKA Moscow,23,0,0,Fr-Tour
6,1990-91,7,7,1,CSKA Moscow,23,0,0,Super-S
12,1991-92,27,25,13,CSKA Moscow,24,14,0,CIS
3,1991-92,8,6,3,Russia,24,2,0,Olympics
13,1994-95,29,25,12,2 Teams,27,40,0,IHL
1,1994-95,11,3,2,San Diego Gulls,27,14,0,IHL
12,1994-95,18,22,10,Chicago Wolves,27,26,0,IHL
7,1995-96,7,14,7,EHC Olten,28,8,0,Swiss-2
0,1995-96,3,3,3,HC Amiens,28,4,0,France
18,1996-97,46,48,30,Brynas IF Gavle,29,78,0,Sweden
16,1997-98,40,33,17,Brynas IF Gavle,30,32,0,Sweden
2,1998-99,14,4,2,Ak Bars Kazan,31,45,0,Russia
3,1998-99,11,7,4,EV Zug,31,4,0,Swiss
30,1999-00,36,56,26,EHC Olten,32,70,0,Swiss-2
49,2000-01,40,80,31,EHC Olten,33,18,0,Swiss-2
1,2001-02,7,3,2,Karpat Oulu,34,4,0,Finland
9,2001-02,34,14,5,Berlin Capitals,34,14,0,Germany
0,2002-03,5,0,0,Krylja Sovetov Moscow,35,4,0,Russia
1,2002-03,2,2,1,HC Milano,35,0,0,Italy
3,2003-04,12,6,3,Olofstroms IK,36,6,0,Sweden-3
20,2003-04,30,30,10,Velkom Moscow,36,24,0,Russia-3
