shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,goalie_point_share,pim,awards,shutouts,points,bad_start,team
158,.750,1,144,308,7,0,2014-15,0,1,2.73,NHL,4,14,0,0,2,3,.911,22,0.9,0,[],0,0,0,ARI
1142,.556,5,1041,2206,39,1,2015-16,0,15,2.75,NHL,36,101,104,-3.77,18,20,.912,23,6.3,0,[],2,1,5,ARI
888,.462,1,806,1599,31,0,2016-17,0,11,3.08,NHL,26,82,107,-5.15,15,12,.908,24,4.6,0,[],0,0,4,ARI
