pim,team,assists,plus_minus,points,league,games_played,year,age,goals
13,Peterborough Petes,6,0,6,OHL,8,1983-84,17,0
11,Peterborough Petes,10,0,12,OHL,17,1984-85,18,2
17,Peterborough Petes,7,0,8,OHL,16,1985-86,19,1
0,New Haven Nighthawks,0,0,1,AHL,3,1986-87,20,1
