assists,year,games_played,points,goals,team,age,pim,plus_minus,league
4,2005-06,12,5,1,Traktor Chelyabinsk 2,16,2,0,Russia-3
0,2006-07,4,2,2,Traktor Chelyabinsk 2,17,14,0,Russia-3
1,2006-07,24,2,1,Traktor Chelyabinsk,17,8,0,Russia
2,2006-07,7,4,2,Russia,17,2,0,WJ18-A
7,2007-08,12,11,4,Traktor Chelyabinsk 2,18,32,0,Russia-3
13,2007-08,43,20,7,Traktor Chelyabinsk,18,20,0,Russia
0,2007-08,7,0,0,Russia,18,4,0,WJC-A
4,2008-09,40,15,11,Traktor Chelyabinsk,19,8,0,KHL
5,2008-09,7,7,2,Russia,19,2,0,WJC-A
23,2009-10,76,40,17,Rochester Americans,20,36,9,AHL
8,2010-11,24,16,8,Rochester Americans,21,4,-3,AHL
20,2011-12,55,28,8,2 Teams,22,10,-6,AHL
4,2011-12,20,9,5,San Antonio Rampage,22,4,-2,AHL
16,2011-12,35,19,3,Charlotte Checkers,22,6,-4,AHL
24,2012-13,54,38,14,HK Donbass Donetsk,23,12,8,KHL
