game_winning_goals,shotsPercentage,plus_minus,shots,power_play_goals,age,average_ice_time,games_played,assists,year,points,shorthanded_goals,goals,even_strength_goals,team,win,pim,total_ice_time,league
0,37.5,3,8,1,23,,7,3,1992-93,6,0,3,2,DET,,6,,NHL
0,0.0,-2,3,0,26,,3,0,1995-96,0,0,0,0,WIN,,0,,NHL
0,0.0,-2,12,0,27,,7,1,1996-97,1,0,0,0,PHX,,2,,NHL
0,0.0,-4,4,0,28,,4,1,1997-98,1,0,0,0,PHX,,2,,NHL
1,22.2,3,18,2,29,139,7,3,1998-99,7,0,4,2,PHX,,4,,NHL
0,0.0,1,8,0,30,78,5,1,1999-00,1,0,0,0,PHX,,4,,NHL
1,19.0,1,21,0,31,212,15,2,2000-01,6,1,4,3,STL,,16,,NHL
0,0.0,0,8,0,32,96,8,0,2001-02,0,0,0,0,STL,,8,,NHL
1,10.0,0,10,0,33,92,7,4,2002-03,5,0,1,1,STL,,23,,NHL
1,14.3,-1,7,0,34,84,5,1,2003-04,2,0,1,1,STL,,2,,NHL
0,3.7,2,27,0,38,250,0,3,2007-08,4,0,1,1,DET,SC,12,44,NHL
