game_winning_goals,takeaways,plus_minus,shots,faceoff_loses,shorthanded_assists,games_played,assists,faceoff_wins,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,pim,league,shotsPercentage,power_play_assists,hits,faceoff_percentage,blocks,age,total_shots,average_ice_time,awards,points,giveaways,even_strength_goals,total_ice_time,team
5,0,15,89,0,0,72,26,0,1992-93,22,2,18,3,93,NHL,20.2,4,0,0,0,23,0,,[],44,0,13,,DET
3,0,-1,112,0,1,62,27,0,1993-94,20,2,13,1,49,NHL,11.6,6,0,0,0,24,0,,[],40,0,10,,TOT
2,0,5,78,0,1,47,22,0,1993-94,16,1,10,0,37,NHL,12.8,5,0,0,0,24,0,,[],32,0,9,,DET
1,0,-6,34,0,0,15,5,0,1993-94,4,1,3,1,12,NHL,8.8,1,0,0,0,24,0,,[],8,0,1,,WIN
1,0,-6,66,0,0,43,18,0,1994-95,15,0,8,0,30,NHL,12.1,3,0,0,0,25,0,,[],26,0,8,,WIN
2,0,-7,121,0,1,69,20,0,1995-96,16,4,19,4,36,NHL,15.7,3,0,0,0,26,0,,[],39,0,11,,WIN
1,0,-11,113,0,2,63,19,0,1996-97,13,1,17,5,52,NHL,15.0,4,0,0,0,27,0,,[],36,0,11,,PHX
2,0,17,112,0,1,60,29,0,1997-98,27,0,11,3,71,NHL,9.8,1,0,0,0,28,0,,[],40,0,8,,PHX
3,0,17,105,0,0,53,22,0,1998-99,20,0,9,0,65,NHL,8.6,2,0,0,0,29,0,15:38,[],31,0,9,829,PHX
5,0,11,127,0,3,79,30,0,1999-00,26,2,15,0,62,NHL,11.8,1,0,0,0,30,0,15:48,[],45,0,13,1248,PHX
3,0,18,142,0,0,82,29,0,2000-01,20,0,12,2,71,NHL,8.5,9,0,0,0,31,0,14:44,[],41,0,10,1208,STL
2,0,8,116,0,0,80,15,0,2001-02,15,3,11,1,87,NHL,9.5,0,0,0,0,32,0,13:26,[],26,0,7,1075,STL
2,0,-7,113,0,1,80,10,0,2002-03,6,1,20,4,66,NHL,17.7,3,0,0,0,33,0,14:48,[],30,0,15,1184,STL
1,0,10,121,0,1,79,22,0,2003-04,18,2,13,3,65,NHL,10.7,3,0,0,0,34,0,16:57,"[{'link': '/awards/voting-2004.html#selke', 'name': 'Selke-25'}]",35,0,8,1340,STL
1,0,-13,88,0,2,62,24,0,2005-06,18,0,2,1,59,NHL,2.3,4,0,0,0,36,0,16:55,[],26,0,1,1049,STL
2,0,-14,74,0,1,60,6,0,2006-07,5,2,6,0,38,NHL,8.1,0,0,0,0,37,0,12:53,[],12,0,4,773,STL
0,17,-12,46,41,0,65,3,29,2007-08,3,1,3,0,41,NHL,6.5,0,92,41.4,25,38,81,10:42,[],6,11,2,696,DET
