assists,year,games_played,points,goals,team,age,pim,plus_minus,league
15,1993-94,42,22,7,Magog Cantonniers,16,62,0,QAAA
7,1994-95,57,10,3,Hull Olympiques,17,204,0,QMJHL
35,1995-96,69,49,14,3 Teams,18,358,0,QMJHL
9,1995-96,25,14,5,Hull Olympiques,18,199,0,QMJHL
17,1995-96,22,22,5,Laval Titan,18,72,0,QMJHL
9,1995-96,22,13,4,Beauport Harfangs,18,87,0,QMJHL
48,1996-97,66,69,21,Drummondville Voltigeurs,19,391,0,QMJHL
27,1997-98,59,45,18,Quebec Remparts,20,365,6,QMJHL
0,1998-99,14,0,0,Fredericton Canadiens,21,46,0,AHL
3,1998-99,36,4,1,New Orleans Brass,21,163,0,ECHL
0,1999-00,7,0,0,Quebec Citadelles,22,37,0,AHL
2,1999-00,27,2,0,Detroit Vipers,22,147,-13,IHL
3,2000-01,24,5,2,Detroit Vipers,23,169,-6,IHL
3,2001-02,17,4,1,Springfield Falcons,24,80,-4,AHL
2,2002-03,15,5,3,Hartford Wolf Pack,25,117,3,AHL
6,2003-04,55,12,6,Hamilton Bulldogs,26,110,0,AHL
7,2004-05,56,9,2,Lowell Lock Monsters,27,183,-1,AHL
4,2005-06,17,4,0,Lowell Lock Monsters,28,37,-13,AHL
7,2006-07,11,15,8,Orebro HK,29,16,0,Sweden-3
2,2007-08,13,3,1,Portland Pirates,30,27,-3,AHL
5,2007-08,14,7,2,Schwenninger Wild Wings,30,34,0,German-2
