league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,2,0,21,0,1,0,,DAL,[],0,0,1,1,0,0,1994-95,,0,0,0,1
NHL,70,0,22,62,28,2,,DAL,[],14.5,9,19,0,9,0,1995-96,,0,111,0,17
NHL,56,0,23,62,10,0,,DAL,[],9.7,6,4,5,6,0,1996-97,,0,98,0,4
NHL,72,1,24,91,19,3,,DAL,[],9.9,6,10,-2,9,0,1997-98,,3,96,0,7
NHL,82,4,25,112,31,3,1037,DAL,[],11.6,11,18,1,13,0,1998-99,12:39,2,85,0,15
NHL,45,0,26,43,8,2,509,DAL,[],4.7,1,6,-5,2,0,1999-00,11:19,1,38,0,4
NHL,75,1,27,93,37,11,832,DAL,[],14.0,9,24,1,13,0,2000-01,11:05,4,64,0,13
NHL,81,4,28,152,33,3,1252,CBJ,[],9.9,9,18,-20,15,0,2001-02,15:27,6,86,0,15
NHL,76,2,29,113,32,8,1036,TOT,[],8.0,6,23,-11,9,0,2002-03,13:38,3,78,0,15
NHL,66,2,29,96,28,6,920,CBJ,[],8.3,5,20,-8,8,0,2002-03,13:56,3,71,0,14
NHL,10,0,29,17,4,2,116,NJD,[],5.9,1,3,-3,1,0,2002-03,11:38,0,7,0,1
NHL,65,2,30,76,15,1,838,NJD,[],10.5,3,7,-9,8,0,2003-04,12:53,5,67,0,6
NHL,76,3,32,89,25,3,960,NJD,[],9.0,4,17,-18,8,0,2005-06,12:38,4,70,0,14
