giveaways,league,games_played,game_winning_goals,age,faceoff_loses,total_shots,shots,points,hits,power_play_assists,total_ice_time,team,takeaways,faceoff_percentage,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,faceoff_wins,shorthanded_goals,year,blocks,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
0,NHL,41,0,20,0,0,51,13,0,0,440,COL,0,0,[],5.9,2,10,0,3,0,0,2005-06,0,10:44,1,12,0,10
0,NHL,73,3,21,0,0,129,22,0,0,961,COL,0,0,[],10.9,11,8,4,14,0,3,2006-07,0,13:10,0,28,0,8
2,NHL,22,0,22,34,52,32,5,13,0,297,COL,5,43.3,[],6.3,2,3,-3,2,26,0,2007-08,3,13:29,0,8,0,3
1,NHL,31,0,23,43,67,37,5,26,0,335,LAK,10,54.7,[],0.0,0,5,-6,0,52,0,2008-09,4,10:48,0,11,0,5
35,NHL,81,4,24,202,248,148,27,123,0,1041,LAK,31,48.2,[],7.4,10,16,1,11,188,1,2009-10,17,12:51,0,37,1,15
18,NHL,68,1,25,89,190,103,19,84,0,800,LAK,28,50.8,[],6.8,6,12,-13,7,92,1,2010-11,11,11:46,0,47,0,12
13,NHL,59,0,26,23,187,98,8,65,0,759,LAK,20,58.9,[],5.1,4,3,-6,5,33,1,2011-12,15,12:52,0,30,0,3
3,NHL,16,0,27,29,52,27,6,22,0,174,LAK,6,48.2,[],3.7,1,5,2,1,27,0,2012-13,3,10:54,0,10,0,5
20,NHL,73,2,28,433,175,85,23,63,0,1088,VAN,27,55.2,[],12.9,8,12,1,11,533,2,2013-14,52,14:54,1,39,1,11
5,NHL,45,1,29,298,110,66,21,57,1,651,VAN,12,47.7,[],12.1,7,13,0,8,272,1,2014-15,20,14:28,0,34,0,12
15,NHL,82,3,30,438,209,117,31,57,0,1281,ARI,26,54.4,[],9.4,11,20,8,11,523,0,2015-16,53,15:37,0,46,0,20
3,NHL,16,0,31,109,44,25,9,19,0,246,ARI,10,52.6,[],20.0,3,4,-1,5,121,2,2016-17,7,15:21,0,15,1,3
