age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
19,,0,0,2,1,WHA,5,0,1977-78,0,0,2,,0,15,,BRB,4
20,,11.1,2,6,1,NHL,8,0,1978-79,1,18,2,,0,22,,PHI,8
21,,7.1,4,0,13,NHL,17,0,1979-80,1,56,4,,0,40,,PHI,22
22,,10.5,4,16,10,NHL,12,0,1980-81,3,38,4,,0,67,,PHI,20
23,,20.0,0,2,-1,NHL,4,0,1981-82,0,5,1,,1,6,,PHI,3
24,,19.4,5,8,10,NHL,16,0,1982-83,1,31,6,,1,22,,EDM,14
25,SC,22.7,6,4,5,NHL,19,1,1983-84,0,44,10,,3,65,,EDM,14
26,,33.3,4,6,6,NHL,5,0,1984-85,1,12,4,,0,8,,BOS,10
27,,0.0,0,1,0,NHL,3,0,1985-86,0,5,0,,0,17,,BOS,1
28,,20.0,1,1,-2,NHL,4,0,1986-87,0,5,1,,0,22,,BOS,2
29,,24.4,6,14,4,NHL,0,1,1987-88,0,45,11,,4,56,,BOS,25
32,,0.0,0,1,1,NHL,2,0,1990-91,0,1,0,,0,0,,EDM,1
