assists,year,games_played,points,goals,team,age,pim,plus_minus,league
2,2009-10,7,7,5,Westchester Express 16U,14,0,0,EJEPL U16
14,2010-11,28,15,1,Cedar Rapids Roughriders,15,19,4,USHL
17,2011-12,68,23,6,Sarnia Sting,16,46,-7,OHL
6,2012-13,4,6,0,USA U18,17,26,1,Hlinka Memor
49,2012-13,62,58,9,Sarnia Sting,17,60,-13,OHL
56,2013-14,51,71,15,Sarnia Sting,18,90,-34,OHL
1,2014-15,5,3,2,USA U20,19,4,-1,WJC-20
28,2014-15,29,38,10,Sarnia Sting,19,64,1,OHL
36,2014-15,26,51,15,Sault Ste. Marie Greyhounds,19,51,33,OHL
37,2015-16,69,43,6,Syracuse Crunch,20,84,-18,AHL
13,2016-17,25,16,3,Tucson Roadrunners,21,31,-2,AHL
