average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,1,0,0,NHL,20,1,2,-1,2,0,0,0,0,1987-88,DET,0,1,[],0.0,,2
,2,0,0,NHL,21,0,0,-1,6,1,1,0,0,1988-89,DET,2,0,[],33.3,,5
,5,0,0,NHL,22,3,6,-1,28,1,0,0,1,1989-90,DET,1,4,[],3.6,,27
,35,1,0,NHL,23,17,38,20,74,16,0,2,0,1990-91,DET,16,19,[],21.6,,67
,13,1,0,NHL,24,8,42,-5,60,5,0,0,0,1991-92,DET,5,8,[],8.3,,61
,59,2,1,NHL,25,28,48,14,167,16,4,1,9,1992-93,PHI,21,38,[],12.6,,74
,38,1,0,NHL,26,16,74,-14,104,15,5,0,2,1993-94,PHI,20,18,[],19.2,,72
,12,2,0,NHL,27,2,14,-2,41,5,3,0,2,1994-95,PHI,8,4,[],19.5,,30
,34,0,0,NHL,28,9,54,-16,113,12,8,1,4,1995-96,TOT,20,14,[],17.7,,65
,15,0,0,NHL,28,4,24,1,42,6,4,1,0,1995-96,PHI,10,5,[],23.8,,24
,19,0,0,NHL,28,5,30,-17,71,6,4,0,4,1995-96,DAL,10,9,[],14.1,,41
11:06,10,0,1,NHL,31,5,30,-11,47,3,0,1,0,1998-99,NYR,4,6,[],8.5,744,67
