average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,0,0,0,NHL,19,0,2,-1,3,0,0,0,0,1967-68,BOS,0,0,[],0.0,,16
,0,0,0,NHL,20,0,2,-3,3,0,0,0,0,1968-69,BOS,0,0,[],0.0,,8
,16,1,0,NHL,21,7,182,-12,100,2,1,2,4,1969-70,MNS,3,13,[],3.0,,56
,20,2,0,NHL,22,10,132,-10,116,2,3,1,4,1970-71,MNS,5,15,[],4.3,,68
,24,0,1,NHL,23,16,128,4,160,2,1,1,3,1971-72,MNS,4,20,[],2.5,,75
,34,0,0,NHL,24,16,54,14,163,8,2,0,8,1972-73,MNS,10,24,[],6.1,,63
,38,0,0,NHL,25,23,82,-17,151,6,3,0,6,1973-74,MNS,9,29,[],6.0,,76
,40,3,0,NHL,26,17,61,-19,161,4,3,0,16,1974-75,TOT,7,33,[],4.3,,76
,24,1,0,NHL,26,9,22,-13,101,2,2,0,11,1974-75,MNS,4,20,[],4.0,,37
,16,2,0,NHL,26,8,39,-6,60,2,1,0,5,1974-75,ATF,3,13,[],5.0,,39
,29,0,0,NHL,27,17,92,1,125,7,1,1,3,1975-76,ATF,8,21,[],6.4,,76
,17,0,0,NHL,28,15,63,-5,81,1,0,0,1,1976-77,ATF,1,16,[],1.2,,66
,24,0,0,NHL,29,10,69,-13,145,3,4,0,7,1977-78,TOT,7,17,[],4.8,,78
,6,0,0,NHL,29,5,24,-2,42,1,0,0,0,1977-78,ATF,1,5,[],2.4,,27
,18,0,0,NHL,29,5,45,-11,103,2,4,0,7,1977-78,STL,6,12,[],5.8,,51
,29,0,0,NHL,30,25,46,-42,86,2,0,0,2,1978-79,STL,2,27,[],2.3,,76
,11,0,0,NHL,31,9,32,-13,55,2,0,0,0,1979-80,LAK,2,9,[],3.6,,63
