even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,1,NYR,3,8,21,0,,NHL,0,0,,1931-32,0,0,,0,4,0
0,0,NYR,3,10,22,0,,NHL,0,0,,1932-33,8,0,SC,0,3,0
0,0,NYR,0,0,23,0,,NHL,0,0,,1933-34,2,0,,0,0,0
0,1,NYR,0,4,24,0,,NHL,0,0,,1934-35,4,0,,0,1,0
0,0,NYR,0,11,26,0,,NHL,0,0,,1936-37,9,0,,0,0,0
0,1,NYR,0,2,27,0,,NHL,0,0,,1937-38,3,0,,0,1,0
0,1,NYR,0,10,28,0,,NHL,0,0,,1938-39,7,0,,0,1,0
0,3,NYR,0,12,29,0,,NHL,0,0,,1939-40,0,0,SC,0,3,0
0,1,NYR,0,4,30,0,,NHL,0,0,,1940-41,3,0,,0,1,0
0,0,NYR,0,0,31,0,,NHL,0,0,,1941-42,6,0,,0,0,0
