age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
19,,21.1,3,2,-1,NHL,15,0,1991-92,0,19,4,,1,10,,BOS,6
21,,14.3,4,5,-2,NHL,13,0,1993-94,0,28,4,,0,14,,BOS,9
22,,0.0,0,0,-1,NHL,2,0,1994-95,0,2,0,,0,2,,BOS,0
23,,9.5,2,6,2,NHL,18,0,1995-96,1,21,2,,0,10,,PIT,8
25,,15.4,2,0,2,NHL,4,0,1997-98,0,13,2,,0,6,,LAK,2
27,,0.0,0,0,-3,NHL,4,0,1999-00,0,3,0,76,0,2,,LAK,0
28,,11.8,3,3,-1,NHL,13,0,2000-01,1,34,4,258,1,4,,LAK,7
29,,4.5,1,4,-1,NHL,6,0,2001-02,0,22,1,108,0,4,,BOS,5
30,,8.3,1,1,-5,NHL,5,0,2002-03,0,12,1,98,0,4,,BOS,2
31,,10.5,2,1,-2,NHL,7,0,2003-04,1,19,2,140,0,8,,BOS,3
35,,0.0,0,0,-3,NHL,7,0,2007-08,0,10,0,100,0,2,26,BOS,0
