power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,2,2,0,NHL,1990-91,20,0,NYR,,2,2,1,0,5,,,0.0,0
2,13,9,0,NHL,1991-92,21,3,NYR,,6,2,-7,0,36,,,8.3,1
1,6,6,1,NHL,1993-94,23,4,CHI,,2,4,4,0,21,,,19.0,3
0,16,6,0,NHL,1994-95,24,3,CHI,,3,10,3,0,32,,,9.4,3
1,7,6,0,NHL,1995-96,25,2,CHI,,4,6,2,0,14,,,14.3,1
0,6,6,0,NHL,1996-97,26,4,CHI,,2,8,2,0,24,,,16.7,4
0,5,1,0,NHL,2001-02,31,0,CHI,18:43,1,4,1,0,9,94,,0.0,0
0,13,7,0,NHL,2002-03,32,1,PHI,19:16,6,4,2,0,37,250,,2.7,1
2,18,8,0,NHL,2003-04,33,3,PHI,14:41,5,6,7,0,26,264,,11.5,1
0,7,3,0,NHL,2005-06,35,2,CGY,17:28,1,10,2,1,13,122,,15.4,1
0,6,1,0,NHL,2006-07,36,0,CGY,9:34,1,0,-1,0,5,57,,0.0,0
