game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
1,0,0,0,32,10,1963-64,0,0,12,3,,NHL,0,0,20,20,"[{'link': '/awards/voting-1964.html#calder', 'name': 'Calder-4'}]",22,9,,BOS
0,0,0,0,20,1,1964-65,0,0,0,0,,NHL,0,0,21,13,[],1,0,,BOS
0,0,0,0,10,1,1965-66,0,0,0,0,,NHL,0,0,22,2,[],1,0,,BOS
4,6,96,0,65,30,1967-68,22,0,13,2,,NHL,13.5,8,24,134,[],43,11,,PHI
0,-20,111,0,60,16,1968-69,15,0,8,2,,NHL,7.2,1,25,80,[],24,6,,PHI
1,2,146,0,65,29,1969-70,24,2,26,4,,NHL,17.8,5,26,96,[],55,20,,PHI
2,3,96,0,57,20,1970-71,15,0,20,5,,NHL,20.8,5,27,93,[],40,15,,PHI
2,-15,167,1,75,32,1971-72,22,3,17,2,,NHL,10.2,9,28,183,[],49,12,,PHI
4,17,187,1,77,49,1972-73,33,0,30,3,,NHL,16.0,15,29,168,[],79,27,,PHI
4,13,109,1,57,39,1973-74,23,0,11,3,,NHL,10.1,15,30,125,[],50,8,,PHI
4,23,115,0,69,27,1974-75,22,2,17,3,,NHL,14.8,5,31,102,[],44,12,,PHI
3,14,152,1,74,35,1975-76,22,0,28,13,,NHL,18.4,12,32,128,[],63,15,,PHI
3,47,115,1,79,34,1976-77,27,0,25,5,,NHL,0,6,33,85,"[{'link': '/awards/voting-1977.html#AS', 'name': 'AS-9'}]",59,20,,PHI
0,-3,61,0,47,5,1977-78,3,0,7,2,,NHL,11.5,2,34,62,[],12,5,,PHI
