giveaways,league,games_played,game_winning_goals,age,faceoff_loses,total_shots,shots,points,hits,power_play_assists,total_ice_time,team,takeaways,faceoff_percentage,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,faceoff_wins,shorthanded_goals,year,blocks,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
0,NHL,3,0,21,0,0,0,0,0,0,10,CAR,0,0,[],0,0,0,0,0,0,0,1998-99,0,3:25,0,0,0,0
0,NHL,26,0,22,0,0,13,2,0,1,193,CAR,0,0,[],0.0,0,2,-10,0,0,0,1999-00,0,7:24,0,17,0,1
0,NHL,35,0,24,0,0,60,11,0,1,431,TOT,0,0,[],8.3,3,6,-2,5,0,0,2001-02,0,12:19,2,36,0,5
0,NHL,4,0,24,0,0,5,0,0,0,46,CAR,0,0,[],0.0,0,0,0,0,0,0,2001-02,0,11:30,0,2,0,0
0,NHL,31,0,24,0,0,55,11,0,1,385,FLA,0,0,[],9.1,3,6,-2,5,0,0,2001-02,0,12:26,2,34,0,5
0,NHL,30,0,25,0,0,29,3,0,0,279,FLA,0,0,[],0.0,0,3,-4,0,0,0,2002-03,0,9:18,0,19,0,3
0,NHL,50,2,26,0,0,65,11,0,0,695,FLA,0,0,[],7.7,5,6,-10,5,0,0,2003-04,0,13:54,0,84,1,5
0,NHL,45,0,28,0,0,34,6,0,0,444,CGY,0,0,[],11.8,4,2,-2,4,0,0,2005-06,0,9:52,0,69,0,2
0,NHL,64,0,29,0,0,46,14,0,0,625,CGY,0,0,[],17.4,7,6,3,8,0,1,2006-07,0,9:46,0,68,1,5
21,NHL,71,0,30,253,105,73,11,89,3,875,VAN,18,50.9,[],4.1,3,8,-10,3,262,0,2007-08,34,12:19,0,80,0,5
