pim,team,assists,plus_minus,points,league,games_played,year,age,goals
5,Regina Capitals,0,0,0,Al-Cup,2,1952-53,16,0
10,Regina Pats,1,0,1,WCJHL,7,1952-53,16,0
45,Regina Pats,4,0,8,WCJHL,16,1953-54,17,4
30,Regina Pats,4,0,11,WCJHL,12,1954-55,18,7
4,Regina Pats,2,0,3,M-Cup,3,1954-55,18,1
20,Regina Pats,5,0,12,WCJHL,10,1955-56,19,7
65,Regina Pats,4,0,19,M-Cup,19,1955-56,19,15
35,Hull-Ottawa Canadiens,12,0,17,M-Cup,15,1956-57,20,5
20,Montreal Royals,2,0,3,QHL,7,1957-58,21,1
0,Rochester Americans,0,0,0,AHL,1,1958-59,22,0
