even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,3,EDO,2,42,21,0,,WHA,0,0,,1978-79,13,0,,0,5,-2
0,0,EDM,0,7,22,0,,NHL,0,5,,1979-80,3,0.0,,0,0,-4
0,0,EDM,0,28,23,0,,NHL,0,17,,1980-81,9,0.0,,0,0,-5
0,1,EDM,0,26,24,0,,NHL,0,10,,1981-82,5,0.0,,0,1,1
4,7,EDM,4,60,25,0,,NHL,0,16,,1982-83,16,25.0,,0,11,7
3,5,EDM,5,14,26,0,,NHL,1,25,,1983-84,17,20.0,SC,1,10,10
2,5,EDM,2,33,27,0,,NHL,0,31,,1984-85,18,6.5,SC,0,7,5
2,3,EDM,2,23,28,0,,NHL,0,18,,1985-86,10,11.1,,0,5,7
3,3,EDM,3,20,29,0,,NHL,0,27,,1986-87,21,11.1,SC,0,6,4
0,0,EDM,0,0,31,0,,NHL,0,5,,1988-89,6,0.0,,0,0,-2
