even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,2,MNS,0,8,19,0,,NHL,0,10,,1991-92,5,0.0,,0,2,1
0,2,DAL,0,14,21,0,,NHL,0,17,,1993-94,9,0.0,,0,2,-2
0,2,DAL,0,20,24,0,,NHL,0,7,,1996-97,7,0.0,,0,2,1
1,3,DAL,3,39,25,0,,NHL,0,22,,1997-98,17,13.6,,2,6,-1
1,6,DAL,1,24,26,0,,NHL,0,28,524,1998-99,18,3.6,SC,0,7,4
1,3,DAL,1,29,27,0,,NHL,0,34,636,1999-00,0,2.9,,0,4,-4
0,1,DAL,0,16,28,0,,NHL,0,13,289,2000-01,10,0.0,,0,1,-7
1,2,DAL,1,33,30,0,,NHL,0,22,330,2002-03,11,4.5,,0,3,8
0,1,DET,0,15,31,0,,NHL,0,12,275,2003-04,12,0.0,,0,1,0
0,2,PHI,0,10,33,0,,NHL,0,5,130,2005-06,6,0.0,,0,2,-4
1,2,PHI,1,40,35,0,20,NHL,0,7,319,2007-08,15,14.3,,0,3,2
