pim,team,assists,plus_minus,points,league,games_played,year,age,goals
8,ZTK Zvolen,3,0,13,Czech-2,26,1991-92,17,10
4,Czechoslovakia,2,0,5,EJC-A,6,1991-92,17,3
36,Rochester Americans,27,0,54,AHL,54,1992-93,18,27
88,Cape Breton Oilers,27,0,57,AHL,73,1993-94,19,30
58,Cape Breton Oilers,24,0,52,AHL,73,1994-95,20,28
52,2 Teams,21,0,46,IHL,63,1995-96,21,25
16,Detroit Vipers,5,0,7,IHL,20,1995-96,21,2
36,Los Angeles Ice Dogs,16,0,39,IHL,43,1995-96,21,23
106,Long Beach Ice Dogs,27,0,54,IHL,68,1996-97,22,27
61,Nurnberg Ice Tigers,22,0,42,Germany,45,1997-98,23,20
65,Nurnberg Ice Tigers,21,0,43,Germany,47,1998-99,24,22
68,Nurnberg Ice Tigers,15,0,34,Germany,67,1999-00,25,19
10,Nurnberg Ice Tigers,1,0,4,EuroHL,5,1999-00,25,3
42,HKm Zvolen,5,0,16,Slovakia,35,2000-01,26,11
14,HKm Zvolen,7,0,14,Slovakia,23,2002-03,28,7
38,HKm Zvolen,11,0,29,Slovakia,54,2003-04,29,18
4,HKm Zvolen,3,0,6,Slovakia,21,2004-05,30,3
34,HKm Zvolen,12,0,20,Slovakia,43,2005-06,31,8
18,HKm Zvolen,7,0,16,Slovakia,50,2006-07,32,9
40,HKm Zvolen,27,0,43,Slovakia,54,2007-08,33,16
12,HKm Zvolen,4,0,4,Slovakia,17,2008-09,34,0
