even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,0,NYR,0,2,21,0,,NHL,0,0,,1961-62,4,0,,0,0,-1
0,0,NYR,1,17,26,0,,NHL,0,10,,1966-67,4,10.0,,0,1,-3
0,2,NYR,1,6,27,0,,NHL,0,20,,1967-68,6,5.0,,1,3,3
2,1,NYR,2,2,28,0,,NHL,0,15,,1968-69,4,13.3,,0,3,-2
7,5,NYR,8,46,30,1,,NHL,0,47,,1970-71,12,17.0,,1,13,6
5,9,NYR,7,22,31,1,,NHL,0,56,,1971-72,0,12.5,,2,16,3
2,2,NYR,2,11,32,1,,NHL,0,25,,1972-73,9,8.0,,0,4,2
1,0,NYR,1,0,33,0,,NHL,0,8,,1973-74,6,12.5,,0,1,0
3,2,PIT,4,0,34,0,,NHL,0,15,,1974-75,9,26.7,,0,6,-2
1,0,PIT,1,11,35,0,,NHL,0,12,,1975-76,3,8.3,,0,1,-2
