pim,team,assists,plus_minus,points,league,games_played,year,age,goals
68,Notre Dame Midget Hounds,24,0,49,SMHL,29,1992-93,17,25
77,Notre Dame Hounds,31,0,51,SJHL,62,1993-94,18,20
35,Powell River Paper Kings,29,0,62,BCJHL,46,1994-95,19,33
4,U. of New Hampshire,18,0,33,H-East,34,1995-96,20,15
34,U. of New Hampshire,21,0,39,H-East,39,1996-97,21,18
46,U. of New Hampshire,28,0,60,H-East,35,1997-98,22,32
6,Worcester IceCats,20,-3,36,AHL,51,1998-99,23,16
26,Worcester IceCats,19,-5,40,AHL,71,1999-00,24,21
59,2 Teams,18,-5,42,AHL,76,2000-01,25,24
10,Worcester IceCats,2,3,7,AHL,18,2000-01,25,5
49,Portland Pirates,16,-8,35,AHL,58,2000-01,25,19
42,Manchester Monarchs,20,4,47,AHL,74,2001-02,26,27
49,Manchester Monarchs,19,6,38,AHL,51,2002-03,27,19
57,Bridgeport Sound Tigers,11,4,35,AHL,76,2003-04,28,24
4,Dundee Stars,1,0,3,Britain-2,3,2004-05,29,2
22,Springfield Falcons,14,-16,22,AHL,51,2004-05,29,8
8,EHC Basel,2,0,7,Swiss,10,2005-06,30,5
44,Hannover Scorpions,10,0,21,Germany,50,2006-07,31,11
