shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,pim,shutouts,points,bad_start,team
0,0,0,0,3205,26,0,1994-95,0,0,3.35,ON-Jr.A,0,179,0,0,0,0,0,15,0,3,0,0,Barrie Colts
0,0,2,0,1265,29,0,1995-96,0,12,4.55,OHL,0,96,0,0,6,0,0,16,0,0,0,0,Sarnia Sting
0,0,4,0,2667,50,0,1996-97,0,22,3.46,OHL,0,154,0,0,17,0,0,17,0,4,0,0,Sarnia Sting
0,0,11,0,3205,56,0,1997-98,0,26,3.35,OHL,0,179,0,0,17,0,0,18,0,1,0,0,Sarnia Sting
0,0,0,0,60,1,0,1998-99,0,1,4.00,Nat-Tm,0,4,0,0,0,0,0,19,0,0,0,0,Canada
1871,0,3,1668,2814,52,4,1998-99,0,17,4.33,OHL,0,203,0,0,27,0,.892,19,4,1,4,0,2 Teams
213,0,0,187,425,8,0,1998-99,0,3,3.67,OHL,0,26,0,0,5,0,.878,19,0,0,0,0,Sarnia Sting
1658,0,3,1481,2389,44,4,1998-99,0,14,4.45,OHL,0,177,0,0,22,0,.893,19,4,1,4,0,Kingston Frontenacs
1475,0,7,1338,2710,52,1,1999-00,0,21,3.03,AHL,0,137,0,0,17,0,.907,20,36,1,1,0,Springfield Falcons
1457,0,5,1301,2807,50,0,2000-01,0,17,3.33,AHL,0,156,0,0,24,0,.893,21,21,0,0,0,Springfield Falcons
988,0,1,894,1864,34,0,2001-02,0,12,3.03,AHL,0,94,0,0,18,0,.905,22,6,2,0,0,Springfield Falcons
789,0,2,721,1484,25,1,2002-03,0,6,2.75,AHL,0,68,0,0,16,0,.914,23,6,0,1,0,2 Teams
242,0,1,222,454,8,0,2002-03,0,2,2.64,AHL,0,20,0,0,4,0,.917,23,0,0,0,0,Springfield Falcons
547,0,1,499,1030,17,1,2002-03,0,4,2.80,AHL,0,48,0,0,12,0,.912,23,6,0,1,0,Lowell Lock Monsters
0,0,1,0,2838,50,0,2003-04,0,23,2.92,AHL,0,138,0,0,25,0,0,24,0,0,0,0,Lowell Lock Monsters
684,0,1,605,1487,34,1,2004-05,0,8,3.19,AHL,0,79,0,0,19,0,.885,25,14,2,1,0,San Antonio Rampage
86,0,0,76,120,2,0,2004-05,0,0,5.00,ECHL,0,10,0,0,2,0,.884,25,2,0,0,0,Texas Wildcatters
0,0,0,0,3340,56,0,2007-08,0,23,3.20,Germany,0,178,0,0,33,0,0,28,0,4,0,0,Augsburger Panther
0,0,0,0,0,44,0,2008-09,0,0,0,Norway,0,0,0,0,0,0,0,29,0,0,0,0,Valerengen IF Oslo
0,0,0,0,0,47,0,2009-10,0,0,0,Norway,0,0,0,0,0,0,0,30,0,0,0,0,Valerengen IF Oslo
0,0,0,0,0,45,0,2010-11,0,0,0,Norway,0,0,0,0,0,0,0,31,0,0,0,0,Valerengen IF Oslo
0,0,0,0,0,44,0,2011-12,0,0,0,Norway,0,0,0,0,0,0,0,32,0,0,0,0,Valerengen IF Oslo
