age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
26,,0.0,0,0,-1,NHL,4,0,1966-67,0,2,0,,0,2,,NYR,0
27,,0.0,0,4,2,NHL,6,0,1967-68,0,8,0,,0,2,,NYR,4
28,,10.0,0,0,-3,NHL,4,0,1968-69,0,10,1,,1,0,,NYR,1
29,,9.1,1,3,-6,NHL,6,0,1969-70,0,11,1,,0,0,,NYR,4
30,,10.5,2,9,3,NHL,13,0,1970-71,0,19,2,,0,8,,NYR,11
31,,0.0,0,1,-3,NHL,6,0,1971-72,0,7,0,,0,0,,NYR,1
32,,9.1,1,7,6,NHL,10,0,1972-73,0,22,2,,1,0,,NYR,9
33,,6.9,2,4,-7,NHL,13,0,1973-74,1,29,2,,0,0,,NYR,6
34,,8.3,0,5,3,NHL,3,0,1974-75,0,12,1,,1,2,,NYR,6
35,,24.2,3,8,2,NHL,12,0,1975-76,1,33,8,,0,4,,BOS,16
36,,14.7,4,12,12,NHL,0,0,1976-77,1,34,5,,1,4,,BOS,17
37,,13.6,3,7,6,NHL,0,0,1977-78,0,22,3,,0,0,,BOS,10
38,,0,5,6,5,NHL,11,0,1978-79,2,22,7,,2,2,,BOS,13
39,,0.0,0,0,-1,NHL,3,0,1979-80,0,4,0,,0,0,,BOS,0
40,,0.0,0,0,-3,NHL,3,0,1980-81,0,1,0,,0,0,,BOS,0
