assists,year,games_played,points,goals,team,age,pim,plus_minus,league
4,1959-60,13,4,0,Brockville Jr. Canadiens,17,4,0,M-Cup
3,1961-62,6,5,2,Montreal Jr. Canadiens,19,14,0,OHA-Jr.
7,1962-63,8,8,1,Montreal Jr. Canadiens,20,6,0,OHA-Jr.
2,1963-64,10,5,3,Omaha Knights,21,6,0,CPHL
5,1964-65,6,7,2,Omaha Knights,22,11,0,CPHL
2,1966-67,4,2,0,Houston Apollos,24,0,0,CPHL
0,1968-69,4,0,0,Kansas City Blues,26,11,0,CHL
1,1972-73,5,5,4,Denver Spurs,30,0,0,WHL
12,1973-74,15,14,2,Providence Reds,31,19,0,AHL
0,1974-75,3,0,0,Providence Reds,32,0,0,AHL
