shotsPercentage,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,age,game_winning_goals,league,shorthanded_goals,average_ice_time,games_played,points,awards,power_play_goals
5.0,1987-88,10,2,,0,20,0,1,-2,2,WSH,1,20,0,NHL,0,,30,3,[],0
0.0,1988-89,4,3,,0,5,0,0,7,3,WSH,0,21,0,NHL,0,,8,3,[],0
2.0,1989-90,28,7,,0,49,4,1,8,11,WSH,1,22,0,NHL,0,,41,12,[],0
0.0,1990-91,4,1,,0,7,1,0,-2,2,BUF,0,23,0,NHL,0,,7,2,[],0
5.6,1991-92,8,0,,0,18,0,1,-2,0,BUF,1,24,0,NHL,0,,10,1,[],0
10.3,1992-93,6,5,,0,29,0,3,5,5,BUF,3,25,0,NHL,0,,15,8,[],0
7.5,1993-94,40,11,,0,187,14,11,-18,25,MDA,14,26,3,NHL,0,,80,39,[],3
8.5,1994-95,20,10,,0,59,3,4,16,13,STL,5,27,0,NHL,0,,41,18,[],1
5.6,1995-96,22,9,,0,90,14,2,1,23,TBL,5,28,0,NHL,0,,61,28,[],3
3.4,1996-97,30,16,,1,116,4,4,16,21,TBL,4,29,2,NHL,0,,79,25,[],0
6.9,1997-98,48,12,,1,102,12,3,13,25,SJS,7,30,2,NHL,0,,82,32,[],4
7.8,1998-99,40,11,1682,0,115,12,2,8,23,SJS,9,31,5,NHL,0,22:08,76,32,[],7
3.4,1999-00,26,12,1589,1,89,1,1,-9,14,TOT,3,32,1,NHL,0,22:23,71,17,[],2
4.8,1999-00,2,1,301,0,21,1,0,-3,2,TBL,1,32,0,NHL,0,21:29,14,3,[],1
2.9,1999-00,24,11,1289,1,68,0,1,-6,12,NSH,2,32,1,NHL,0,22:36,57,14,[],1
5.1,2000-01,40,9,1717,2,78,1,3,-7,12,NSH,4,33,1,NHL,1,21:12,81,16,[],0
0.0,2001-02,40,5,1768,2,44,1,0,-1,8,NSH,0,34,0,NHL,0,21:33,82,8,[],0
3.9,2002-03,46,4,1567,0,51,0,2,-2,4,NSH,2,35,1,NHL,0,19:07,82,6,[],0
