league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,78,1,19,79,26,3,,HAR,[],3.8,3,23,1,3,0,1985-86,,0,125,0,20
NHL,74,0,20,135,28,1,,HAR,"[{'link': '/awards/voting-1987.html#AS', 'name': 'AS-24'}]",6.7,8,19,17,9,0,1986-87,,1,95,0,18
NHL,74,1,21,107,18,0,,TOT,[],6.5,6,11,1,7,0,1987-88,,1,139,0,11
NHL,33,0,21,49,7,0,,HAR,[],2.0,0,6,-8,1,0,1987-88,,1,45,0,6
NHL,41,1,21,58,11,0,,CGY,[],10.3,6,5,9,6,0,1987-88,,0,94,0,5
NHL,63,1,22,91,22,3,,CGY,[],3.3,2,19,26,3,1,1988-89,,0,142,1,15
NHL,78,0,23,97,20,0,,CGY,[],7.2,6,13,19,7,0,1989-90,,1,140,0,13
NHL,29,0,24,40,3,0,,TOT,[],2.5,1,2,-7,1,0,1990-91,,0,38,0,2
NHL,19,0,24,25,2,0,,CGY,[],0.0,0,2,-4,0,0,1990-91,,0,30,0,2
NHL,10,0,24,15,1,0,,VAN,[],6.7,1,0,-3,1,0,1990-91,,0,8,0,0
NHL,70,0,25,99,14,2,,VAN,[],3.0,2,11,15,3,1,1991-92,,0,147,0,9
NHL,79,2,26,82,16,0,,VAN,[],6.1,5,11,34,5,0,1992-93,,0,196,2,9
NHL,80,0,27,79,20,0,,VAN,[],7.6,5,14,4,6,1,1993-94,,0,109,0,14
NHL,40,0,28,29,8,0,,VAN,[],0.0,0,8,14,0,0,1994-95,,0,129,0,8
NHL,69,0,29,68,12,0,,VAN,[],2.9,2,10,9,2,0,1995-96,,0,130,2,8
NHL,61,0,30,70,8,0,,VAN,[],1.4,1,7,7,1,0,1996-97,,0,118,0,7
NHL,31,2,31,29,7,0,,VAN,[],17.2,5,2,-3,5,0,1997-98,,0,42,0,2
NHL,12,0,32,7,2,0,180,VAN,[],0.0,0,2,1,0,0,1998-99,15:02,0,21,0,2
