power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
1,15,10,0,NHL,1983-84,22,1,MTL,,9,17,3,0,25,,,4.0,0
2,9,10,0,NHL,1984-85,23,2,MTL,,8,17,2,0,19,,,10.5,0
1,20,11,0,NHL,1985-86,24,2,MTL,,9,49,3,0,57,,SC,3.5,1
2,17,13,0,NHL,1986-87,25,4,MTL,,9,38,-1,1,49,,,8.2,1
1,11,4,0,NHL,1987-88,26,3,MTL,,1,29,3,0,39,,,7.7,2
1,21,19,2,NHL,1988-89,27,4,MTL,,15,28,2,0,53,,,7.5,3
0,5,1,0,NHL,1989-90,28,0,MTL,,1,8,-4,0,6,,,0.0,0
1,6,8,0,NHL,1990-91,29,1,CHI,,7,46,2,0,11,,,9.1,0
3,18,21,1,NHL,1991-92,30,6,CHI,,15,37,0,0,54,,,11.1,3
0,4,2,0,NHL,1992-93,31,0,CHI,,2,14,-1,0,18,,,0.0,0
1,6,2,0,NHL,1993-94,32,1,CHI,,1,8,0,0,29,,,3.4,0
0,16,11,3,NHL,1994-95,33,4,CHI,,7,12,6,1,49,,,8.2,3
0,9,3,0,NHL,1995-96,34,0,CHI,,3,8,2,0,28,,,0.0,0
0,6,1,0,NHL,1996-97,35,0,CHI,,1,8,-2,0,18,,,0.0,0
0,10,4,0,NHL,1998-99,37,0,DET,273,4,14,-6,0,21,,,0.0,0
0,9,1,0,NHL,1999-00,38,0,DET,217,1,8,-3,0,11,,,0.0,0
0,5,1,0,NHL,2000-01,39,1,DET,98,0,2,-1,0,9,,,11.1,1
1,0,14,0,NHL,2001-02,40,1,DET,606,13,44,0,0,28,,SC,3.6,0
0,4,0,0,NHL,2002-03,41,0,DET,103,0,2,-3,0,4,,,0.0,0
0,8,1,0,NHL,2003-04,42,0,DET,170,1,4,1,0,14,,,0.0,0
0,6,0,0,NHL,2005-06,44,0,DET,117,0,6,2,0,3,,,0.0,0
0,18,7,0,NHL,2006-07,45,1,DET,362,6,12,7,1,27,,,3.7,0
0,14,0,0,NHL,2007-08,46,0,DET,181,0,10,2,0,11,25,SC,0.0,0
0,6,0,0,NHL,2008-09,47,0,DET,44,0,2,0,0,4,10,,0.0,0
