goalie_point_share,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,awards,saves
1.1,0,NHL,6,NYI,358,23,5,0,1,18,0,0,0,0,1,1,0,0,0,.905,1994-95,189,3.02,0,[],171
0.5,0,NHL,10,NYI,523,24,7,0,0,35,0,0,1,0,1,0,0,0,0,.860,1995-96,250,4.02,0,[],215
8.5,0,NHL,58,NYI,3208,25,27,101,1,151,0,-0.85,8,5,20,1,0,0,0,.904,1996-97,1576,2.82,4,[],1425
9.5,0,NHL,62,NYI,3461,26,29,100,1,152,0,-0.39,5,4,23,1,0,0,0,.906,1997-98,1617,2.64,31,[],1465
8.8,0,NHL,64,TOT,3718,27,28,105,0,159,0,-7.13,9,5,25,0,0,0,0,.903,1998-99,1647,2.57,12,[],1488
7.3,0,NHL,51,NYI,3018,27,26,105,0,132,0,-5.86,7,5,17,0,0,0,0,.904,1998-99,1368,2.62,12,[],1236
1.5,0,NHL,13,EDM,700,27,2,0,0,27,0,0,2,0,8,0,0,0,0,.903,1998-99,279,2.31,0,[],252
13.3,0,NHL,70,EDM,4164,28,28,90,1,162,0,17.27,0,2,27,1,0,0,0,.914,1999-00,1875,2.33,8,"[{'link': '/awards/voting-2000.html#AS', 'name': 'AS-7'}, {'link': '/awards/voting-2000.html#vezina', 'name': 'Vezina-6'}]",1713
11.5,0,NHL,73,EDM,4364,29,25,100,1,179,0,0.55,12,8,36,1,0,0,0,.904,2000-01,1856,2.46,4,"[{'link': '/awards/voting-2001.html#AS', 'name': 'AS-8'}, {'link': '/awards/voting-2001.html#hart', 'name': 'Hart-16'}, {'link': '/awards/voting-2001.html#vezina', 'name': 'Vezina-7'}]",1677
11.6,0,NHL,69,EDM,4035,30,28,94,1,149,0,9.02,10,6,30,1,0,0,0,.913,2001-02,1713,2.22,2,"[{'link': '/awards/voting-2002.html#vezina', 'name': 'Vezina-9'}]",1564
8.5,0,NHL,65,EDM,3814,31,27,110,0,172,0,-16.29,8,4,29,0,0,0,0,.899,2002-03,1708,2.71,4,[],1536
5.3,0,NHL,49,TOT,2791,32,21,115,1,119,0,-15.69,7,3,18,1,0,0,0,.897,2003-04,1160,2.56,2,[],1041
4.4,0,NHL,44,EDM,2487,32,18,117,1,107,0,-15.81,6,3,17,1,0,0,0,.896,2003-04,1024,2.58,2,[],917
0.8,0,NHL,5,COL,304,32,3,0,0,12,0,0,1,0,1,0,0,0,0,.912,2003-04,136,2.37,0,[],124
