assists,team,goals,year,games_played,points,pim,age,plus_minus,league
38,Don Mills Flyers,38,1984-85,38,76,80,16,0,MTHL
13,London Knights,4,1985-86,62,17,91,17,0,OHL
14,3 Teams,11,1986-87,64,25,95,18,0,OHL
0,London Knights,1,1986-87,5,1,5,18,0,OHL
1,Kitchener Rangers,0,1986-87,4,1,4,18,0,OHL
13,Belleville Bulls,10,1986-87,55,23,86,18,0,OHL
47,2 Teams,60,1987-88,63,107,246,19,0,OHL
1,Belleville Bulls,1,1987-88,5,2,9,19,0,OHL
46,Windsor Spitfires,59,1987-88,58,105,237,19,0,OHL
9,Cape Breton Oilers,9,1988-89,61,18,325,20,0,AHL
12,Cape Breton Oilers,6,1989-90,53,18,230,21,0,AHL
23,Cape Breton Oilers,24,1990-91,60,47,137,22,0,AHL
30,2 Teams,16,1991-92,66,46,129,23,0,AHL
7,Cape Breton Oilers,3,1991-92,16,10,32,23,0,AHL
23,New Haven Nighthawks,13,1991-92,50,36,97,23,0,AHL
56,Cape Breton Oilers,22,1992-93,73,78,121,24,0,AHL
17,Saint John Flames,11,1993-94,37,28,108,25,0,AHL
4,Phoenix Roadrunners,7,1993-94,11,11,43,25,0,IHL
15,HC Courmaosta,9,1994-95,16,24,50,26,0,Italy
1,Detroit Vipers,0,1994-95,1,1,0,26,0,IHL
10,Worcester IceCats,11,1994-95,28,21,88,26,0,AHL
4,HK Olimpija Ljubljana,9,1995-96,13,13,24,27,0,Alpenliga
26,HK Olimpija Ljubljana,49,1995-96,36,75,84,27,0,Slovenia
47,HK Olimpija Ljubljana,38,1996-97,45,85,88,28,0,Alpenliga
5,HC Milano 24,6,1996-97,4,11,31,28,0,Italy
28,Hannover Scorpions,25,1997-98,48,53,105,29,0,Germany
20,Hannover Scorpions,18,1998-99,42,38,104,30,0,Germany
19,Hannover Scorpions,12,1999-00,40,31,106,31,0,Germany
9,Hannover Scorpions,14,2000-01,34,23,115,32,0,Germany
24,Hannover Scorpions,17,2001-02,55,41,80,33,0,Germany
1,Fresno Falcons,6,2002-03,10,7,34,34,1,WCHL
13,Hannover Scorpions,7,2003-04,42,20,80,35,0,Germany
