assists,team,goals,year,games_played,points,pim,age,plus_minus,league
1,London Knights,0,1985-86,5,1,0,17,0,OHL
0,Belleville Bulls,3,1986-87,6,3,13,18,0,OHL
11,Windsor Spitfires,9,1987-88,11,20,50,19,0,OHL
2,Windsor Spitfires,2,1987-88,4,4,6,19,0,M-Cup
2,Cape Breton Oilers,2,1989-90,4,4,15,21,0,AHL
2,Cape Breton Oilers,0,1990-91,3,2,12,22,0,AHL
0,New Haven Nighthawks,3,1991-92,5,3,13,23,0,AHL
13,Cape Breton Oilers,11,1992-93,16,24,36,24,0,AHL
5,HC Courmaosta,5,1994-95,6,10,14,26,0,Italy
1,HK Olimpija Ljubljana,9,1996-97,5,10,5,28,0,Alpenliga
3,HC Milano 24,3,1996-97,6,6,24,28,0,Italy
1,Hannover Scorpions,1,1997-98,4,2,10,29,0,Germany
2,Hannover Scorpions,2,2000-01,6,4,26,32,0,Germany
3,Fresno Falcons,0,2002-03,8,3,28,34,1,WCHL
1,Hannover Scorpions,2,2003-04,5,3,18,35,0,Germany
