goalie_point_share,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,awards,saves
0.0,0,NHL,1,MTL,20,19,0,0,0,0,0,0,0,0,1,0,0,0,0,1.000,1984-85,2,0.00,0,[],2
6.3,0,NHL,47,MTL,2651,20,18,99,3,148,0,0.98,3,1,23,3,0,0,0,.875,1985-86,1185,3.35,4,"[{'link': '/awards/voting-1986.html#calder', 'name': 'Calder-5'}, {'link': '/awards/smythe.html#1986', 'name': None}, {'link': '/awards/voting-1986.html#vezina', 'name': 'Vezina-9'}]",1037
7.7,0,NHL,46,MTL,2686,21,16,90,1,131,0,14.15,6,1,22,1,0,0,0,.892,1986-87,1210,2.93,8,"[{'link': '/awards/voting-1987.html#AS', 'name': 'AS-4'}, {'link': '/awards/jennings.html#1987', 'name': None}, {'link': '/awards/voting-1987.html#vezina', 'name': 'Vezina-10'}]",1079
8.7,0,NHL,45,MTL,2586,22,12,0,2,125,0,24.97,0,3,23,2,0,0,0,0,1987-88,1248,2.90,14,"[{'link': '/awards/nhl_all_star.html#1988', 'name': None}, {'link': '/awards/jennings.html#1988', 'name': None}, {'link': '/awards/voting-1988.html#vezina', 'name': 'Vezina-8'}]",1123
9.3,0,NHL,48,MTL,2744,23,5,0,6,113,0,0,6,4,33,6,0,0,0,0,1988-89,1228,0,2,"[{'link': '/awards/nhl_all_star.html#1989', 'name': None}, {'link': '/awards/voting-1989.html#hart', 'name': 'Hart-4'}, {'link': '/awards/jennings.html#1989', 'name': None}, {'link': '/awards/vezina.html#1989', 'name': None}]",1115
0,0,NHL,54,MTL,3173,24,16,0,5,134,0,0,5,3,0,5,0,0,0,0,1989-90,1524,2.53,0,"[{'link': '/awards/nhl_all_star.html#1990', 'name': None}, {'link': '/awards/voting-1990.html#hart', 'name': 'Hart-5'}, {'link': '/awards/vezina.html#1990', 'name': None}]",1390
9.7,0,NHL,48,MTL,2835,25,15,82,2,128,0,27.24,6,1,25,2,0,0,0,.906,1990-91,1362,2.71,6,"[{'link': '/awards/nhl_all_star.html#1991', 'name': None}, {'link': '/awards/voting-1991.html#vezina', 'name': 'Vezina-2'}]",1234
13.5,0,NHL,67,MTL,3935,26,22,0,5,155,0,0,8,0,36,5,0,0,0,0,1991-92,1806,0,4,"[{'link': '/awards/nhl_all_star.html#1992', 'name': None}, {'link': '/awards/voting-1992.html#hart', 'name': 'Hart-2'}, {'link': '/awards/jennings.html#1992', 'name': None}, {'link': '/awards/vezina.html#1992', 'name': None}]",1651
10.9,0,NHL,62,MTL,3595,27,25,92,2,192,0,16.77,5,2,31,2,0,0,0,.894,1992-93,1814,3.20,16,"[{'link': '/awards/voting-1993.html#AS', 'name': 'AS-7'}, {'link': '/awards/smythe.html#1993', 'name': None}, {'link': '/awards/voting-1993.html#vezina', 'name': 'Vezina-6'}]",1622
14.4,0,NHL,68,MTL,3867,28,17,78,1,161,0,44.24,11,0,35,1,0,0,0,.918,1993-94,1956,2.50,30,"[{'link': '/awards/voting-1994.html#AS', 'name': 'AS-3'}, {'link': '/awards/voting-1994.html#hart', 'name': 'Hart-5'}, {'link': '/awards/voting-1994.html#vezina', 'name': 'Vezina-3'}]",1795
8.3,0,NHL,0,MTL,0,29,20,94,1,127,0,7.91,6,1,17,1,0,0,0,.906,1994-95,0,2.97,20,[],0
11.3,0,NHL,61,TOT,3565,30,24,90,0,165,0,17.54,2,2,34,0,0,0,0,.908,1995-96,1797,2.78,10,"[{'link': '/awards/voting-1996.html#AS', 'name': 'AS-8'}, {'link': '/awards/voting-1996.html#vezina', 'name': 'Vezina-9'}]",1632
4.1,0,NHL,22,MTL,1260,30,9,92,0,62,0,5.75,1,1,12,0,0,0,0,.907,1995-96,667,2.95,6,"[{'link': '/awards/voting-1996.html#AS', 'name': 'AS-8'}, {'link': '/awards/voting-1996.html#vezina', 'name': 'Vezina-9'}]",605
