won,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,saves
SC,0,NHL,20,MTL,1218,20,5,74,0,39,0,14.05,0,0,0,0,0,0,0,.923,1985-86,506,1.92,10,467
,0,NHL,6,MTL,330,21,2,125,0,22,0,-4.44,0,0,4,0,0,0,0,.873,1986-87,173,4.00,0,151
,0,NHL,8,MTL,430,22,4,84,0,24,0,4.52,0,0,3,0,0,0,0,.890,1987-88,218,3.35,0,194
,0,NHL,19,MTL,1206,23,6,75,2,42,0,14.26,0,2,13,2,0,0,0,.920,1988-89,528,0,16,486
,0,NHL,11,MTL,641,24,6,81,1,26,0,6.20,0,1,5,1,0,0,0,.911,1989-90,292,2.43,0,266
,0,NHL,13,MTL,785,25,5,97,0,40,0,1.12,0,0,7,0,0,0,0,.898,1990-91,394,3.06,2,354
,0,NHL,11,MTL,686,26,7,93,0,30,0,2.34,0,1,4,0,0,0,0,.904,1991-92,312,2.62,2,282
SC,0,NHL,20,MTL,1293,27,4,68,1,46,0,21.43,0,0,0,1,0,0,0,.929,1992-93,647,0,4,0
,0,NHL,6,MTL,375,28,3,76,0,16,0,4.92,0,0,3,0,0,0,0,.930,1993-94,228,2.56,0,212
SC,0,NHL,0,COL,0,30,6,85,0,0,0,9.16,0,0,0,0,0,0,0,.921,1995-96,649,2.10,0,598
,0,NHL,17,COL,1034,31,0,84,0,0,0,7.32,0,0,10,0,0,0,0,.932,1996-97,0,2.21,12,0
,0,NHL,7,COL,430,32,4,111,1,18,0,-1.78,0,0,3,1,0,0,0,.906,1997-98,191,2.51,0,173
,0,NHL,19,COL,1173,33,0,94,2,0,0,3.40,0,1,11,2,0,0,0,.920,1998-99,0,2.66,4,0
,0,NHL,17,COL,1039,34,6,88,1,31,0,4.21,0,3,11,1,0,0,0,.928,1999-00,431,1.79,4,400
SC,0,NHL,23,COL,1451,35,7,75,1,41,0,13.53,0,0,0,1,0,0,0,0,2000-01,0,0,0,0
,0,NHL,21,COL,1241,36,0,110,2,0,0,-4.93,0,3,11,2,0,0,0,.909,2001-02,0,2.51,0,0
,0,NHL,7,COL,423,37,4,111,0,16,0,-1.58,0,1,3,0,0,0,0,.910,2002-03,177,2.27,0,161
