age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
22,SC,4.3,1,5,0,NHL,0,0,1999-00,1,23,1,332,0,18,,NJD,6
23,,0.0,0,3,7,NHL,0,0,2000-01,0,25,0,419,0,42,,NJD,3
24,,0.0,0,0,-1,NHL,6,0,2001-02,0,6,0,131,0,2,,NJD,0
25,SC,0.0,0,5,3,NHL,0,0,2002-03,0,21,0,529,0,29,,NJD,5
26,,0.0,0,0,-1,NHL,5,0,2003-04,0,2,0,98,0,4,,NJD,0
28,,0.0,0,0,0,NHL,4,0,2005-06,0,1,0,71,0,4,,NJD,0
29,,0.0,0,0,-4,NHL,7,0,2006-07,0,2,0,149,0,6,,NJD,0
30,,0.0,0,0,-2,NHL,5,0,2007-08,0,3,0,102,0,6,5,NJD,0
31,,0.0,0,1,-3,NHL,7,0,2008-09,0,3,0,138,0,6,9,NJD,1
32,,100.0,1,0,-1,NHL,5,0,2009-10,0,1,1,95,0,8,5,NJD,1
34,,100.0,1,0,0,NHL,3,0,2011-12,0,1,1,41,0,0,3,SJS,1
