game_winning_goals,takeaways,plus_minus,shots,faceoff_loses,shorthanded_assists,games_played,assists,faceoff_wins,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,pim,league,shotsPercentage,power_play_assists,hits,faceoff_percentage,blocks,age,total_shots,average_ice_time,awards,points,giveaways,even_strength_goals,total_ice_time,team
0,1,0,2,0,0,1,0,0,2009-10,0,0,0,0,0,NHL,0.0,0,2,0,0,21,2,8:26,[],0,0,0,8,OTT
1,27,-2,77,37,1,65,6,23,2011-12,4,0,5,0,12,NHL,6.5,1,58,38.3,33,23,149,11:20,[],11,24,5,737,OTT
0,13,-8,36,9,0,25,3,9,2012-13,2,0,1,0,9,NHL,2.8,1,23,50.0,10,24,55,11:01,[],4,10,1,275,TOT
0,9,-7,23,9,0,19,2,9,2012-13,1,0,1,0,9,NHL,4.3,1,18,50.0,8,24,39,11:26,[],3,9,1,217,OTT
0,4,-1,13,0,0,6,1,0,2012-13,1,0,0,0,0,NHL,0.0,0,5,0,2,24,16,9:43,[],1,1,0,58,BOS
