power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,7,4,1,NHL,1994-95,20,2,WSH,,2,2,8,0,15,,,13.3,2
1,6,6,0,NHL,1995-96,21,2,WSH,,4,4,-1,0,29,,,6.9,1
3,21,11,2,NHL,1997-98,23,7,WSH,,4,30,2,1,37,,,18.9,3
0,5,1,0,NHL,1999-00,25,1,WSH,100,0,6,-3,0,16,,,6.3,1
1,6,4,0,NHL,2000-01,26,1,WSH,118,3,2,0,0,14,,,7.1,0
0,6,5,0,NHL,2002-03,28,0,WSH,174,5,4,2,0,15,,,0.0,0
1,7,5,1,NHL,2003-04,29,1,BOS,195,4,4,-4,0,19,,,5.3,0
1,5,4,0,NHL,2006-07,32,1,PIT,134,3,2,-3,0,14,,,7.1,0
1,20,14,0,NHL,2007-08,33,1,PIT,504,13,8,0,0,40,87,,2.5,0
2,22,14,2,NHL,2008-09,34,3,PIT,507,11,12,3,0,41,92,SC,7.3,1
1,13,12,1,NHL,2009-10,35,2,PIT,344,10,4,4,0,24,65,,8.3,1
1,7,4,0,NHL,2011-12,37,1,OTT,172,3,6,1,0,6,32,,16.7,0
0,10,6,0,NHL,2012-13,38,0,OTT,239,6,14,-3,0,16,39,,0.0,0
0,6,0,0,NHL,2013-14,39,0,DAL,80,0,4,-3,0,5,12,,0.0,0
