age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
21,,7.7,1,1,-2,NHL,6,0,1972-73,0,13,1,,0,0,,BUF,2
23,,23.8,3,7,2,NHL,0,0,1974-75,1,21,5,,1,2,,BUF,12
24,,16.7,0,2,3,NHL,9,0,1975-76,0,6,1,,0,2,,BUF,3
25,,0.0,0,4,2,NHL,6,0,1976-77,0,7,0,,0,0,,BUF,4
26,,30.0,2,1,1,NHL,8,0,1977-78,1,10,3,,1,9,,BUF,4
27,,8.3,1,0,-1,NHL,3,0,1978-79,0,12,1,,0,2,,BUF,1
28,,0.0,0,6,2,NHL,10,0,1979-80,0,6,0,,0,4,,BUF,6
29,,14.3,2,4,4,NHL,8,0,1980-81,1,14,2,,0,4,,BUF,6
30,,16.7,1,1,-1,NHL,4,0,1981-82,1,6,1,,0,0,,BUF,2
31,,15.4,2,3,0,NHL,10,0,1982-83,0,13,2,,0,4,,BUF,5
32,,0.0,0,1,-3,NHL,3,0,1983-84,0,1,0,,0,0,,BUF,1
33,,16.7,1,1,-3,NHL,5,0,1984-85,0,6,1,,0,0,,BUF,2
