power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,7,3,0,NHL,1991-92,21,0,BUF,,3,0,0,0,6,,,0.0,0
0,8,3,0,NHL,1992-93,22,0,BUF,,3,6,1,0,2,,,0.0,0
0,6,1,0,NHL,1993-94,23,0,CHI,,1,4,2,0,3,,,0.0,0
0,4,1,0,NHL,1994-95,24,0,CHI,,1,0,0,0,1,,,0.0,0
0,10,3,0,NHL,1995-96,25,0,CHI,,3,4,-1,0,11,,,0.0,0
0,6,2,0,NHL,1996-97,26,1,CHI,,1,2,-2,0,7,,,14.3,1
0,6,0,0,NHL,1997-98,27,0,PHX,,0,4,-3,0,2,,,0.0,0
0,7,3,0,NHL,1998-99,28,1,PHX,168,2,10,5,0,5,,,20.0,1
0,5,0,0,NHL,1999-00,29,0,PHX,113,0,17,-4,0,5,,,0.0,0
0,21,4,0,NHL,2002-03,32,0,MDA,560,4,16,3,0,26,,,0.0,0
0,5,0,0,NHL,2006-07,36,0,MIN,70,0,4,1,0,1,,,0.0,0
0,6,2,1,NHL,2007-08,37,1,MIN,91,1,0,2,0,2,4,,50.0,1
