game_winning_goals,takeaways,plus_minus,shots,faceoff_loses,shorthanded_assists,games_played,assists,faceoff_wins,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,pim,league,shotsPercentage,power_play_assists,hits,faceoff_percentage,blocks,age,total_shots,average_ice_time,awards,points,giveaways,even_strength_goals,total_ice_time,team
3,0,9,138,0,0,79,24,0,1998-99,17,0,20,6,62,NHL,14.5,7,0,0,0,22,0,13:15,"[{'link': '/awards/calder.html#1999', 'name': None}]",44,0,14,1047,COL
2,0,8,213,0,0,82,47,0,1999-00,31,0,20,7,42,NHL,9.4,16,0,0,0,23,0,18:33,[],67,0,13,1521,COL
5,0,6,204,0,0,71,41,0,2000-01,22,0,24,11,47,NHL,11.8,19,0,0,0,24,0,18:03,[],65,0,13,1281,COL
6,0,1,236,0,1,82,25,0,2001-02,14,0,21,5,38,NHL,8.9,10,0,0,0,25,0,17:57,[],46,0,16,1471,COL
5,0,-9,224,0,0,80,30,0,2002-03,15,1,23,5,33,NHL,10.3,15,0,0,0,26,0,18:33,[],53,0,17,1484,CGY
2,0,8,152,0,3,76,35,0,2003-04,21,1,18,5,68,NHL,11.8,11,0,0,0,27,0,18:04,[],53,0,12,1373,BUF
5,0,-11,172,0,0,81,37,0,2005-06,16,2,30,16,32,NHL,17.4,21,0,0,0,29,0,18:06,"[{'link': '/awards/voting-2006.html#byng', 'name': 'Byng-20'}, {'link': '/awards/voting-2006.html#selke', 'name': 'Selke-15'}]",67,0,12,1466,BUF
9,0,1,199,0,0,77,32,0,2006-07,22,3,37,17,30,NHL,18.6,10,0,0,0,30,0,18:47,"[{'link': '/awards/voting-2007.html#AS', 'name': 'AS-7'}, {'link': '/awards/voting-2007.html#byng', 'name': 'Byng-11'}, {'link': '/awards/voting-2007.html#hart', 'name': 'Hart-13'}, {'link': '/awards/voting-2007.html#selke', 'name': 'Selke-4'}]",69,0,17,1446,BUF
7,64,-3,220,613,2,82,33,745,2007-08,14,0,25,12,45,NHL,11.4,17,46,54.9,76,31,350,19:48,"[{'link': '/awards/voting-2008.html#byng', 'name': 'Byng-19'}, {'link': '/awards/voting-2008.html#selke', 'name': 'Selke-12'}]",58,40,13,1623,NYR
2,48,-8,219,580,1,81,34,603,2008-09,23,1,22,10,32,NHL,10.0,10,42,51.0,90,32,395,20:15,"[{'link': '/awards/voting-2009.html#byng', 'name': 'Byng-44'}, {'link': '/awards/voting-2009.html#selke', 'name': 'Selke-33'}]",56,31,11,1640,NYR
1,58,-10,148,568,1,77,18,638,2009-10,11,0,14,2,31,NHL,9.5,6,67,52.9,97,33,267,17:47,"[{'link': '/awards/voting-2010.html#byng', 'name': 'Byng-24'}, {'link': '/awards/voting-2010.html#selke', 'name': 'Selke-24'}]",32,17,12,1369,NYR
0,9,2,26,98,0,24,4,127,2010-11,4,0,1,0,8,NHL,3.8,0,19,56.4,12,34,55,12:01,[],5,3,1,288,NYR
