league,games_played,game_winning_goals,age,shots,points,power_play_assists,total_ice_time,team,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,shorthanded_goals,year,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
NHL,59,1,23,90,21,3,,VAN,[],11.1,9,11,-23,10,0,1990-91,,1,67,0,8
NHL,65,2,24,93,25,2,,VAN,[],8.6,5,17,3,8,1,1991-92,,2,56,0,15
NHL,48,2,25,46,13,0,,VAN,[],13.0,6,7,6,6,0,1992-93,,0,77,1,6
NHL,78,5,26,165,45,4,,MDA,[],10.9,13,27,8,18,1,1993-94,,4,100,2,21
NHL,36,0,27,53,9,0,,MDA,[],5.7,3,6,-4,3,0,1994-95,,0,34,0,6
NHL,79,2,28,108,24,2,,MDA,[],11.1,10,12,8,12,1,1995-96,,1,125,0,10
NHL,70,1,29,100,21,0,,TOT,[],10.0,10,11,-8,10,0,1996-97,,0,78,1,10
NHL,53,1,29,68,14,0,,MDA,[],10.3,7,7,-2,7,0,1996-97,,0,53,0,7
NHL,17,0,29,32,7,0,,PIT,[],9.4,3,4,-6,3,0,1996-97,,0,25,1,3
NHL,39,0,30,32,3,0,,PIT,[],6.3,2,1,-3,2,0,1997-98,,0,33,1,0
NHL,77,0,31,93,29,3,1069,TOR,[],8.6,7,21,8,8,0,1998-99,13:53,1,53,0,18
NHL,73,1,32,91,24,1,938,TOR,[],11.0,9,14,-2,10,1,1999-00,12:51,0,44,2,11
NHL,74,2,33,87,26,3,854,TOR,[],9.2,7,18,4,8,0,2000-01,11:33,1,46,0,15
NHL,63,0,34,80,15,0,680,TOR,[],6.3,5,10,2,5,0,2001-02,10:48,0,28,0,10
NHL,16,0,35,9,1,0,157,CHI,[],0.0,0,1,0,0,0,2002-03,9:50,0,6,1,0
