even_strength_goals,assists,team,goals,pim,age,game_winning_goals,total_ice_time,league,shorthanded_goals,shots,average_ice_time,year,games_played,shotsPercentage,win,power_play_goals,points,plus_minus
0,0,TOR,0,2,20,0,,NHL,0,0,,1949-50,1,0,,0,0,0
0,1,TOR,1,4,24,0,,NHL,0,0,,1953-54,5,0,,0,2,0
0,0,TOR,0,4,26,0,,NHL,0,0,,1955-56,2,0,,0,0,0
0,3,TOR,0,16,29,0,,NHL,0,0,,1958-59,0,0,,0,3,0
0,1,TOR,0,6,30,0,,NHL,0,17,,1959-60,0,0.0,,0,1,-5
0,0,TOR,0,0,31,0,,NHL,0,7,,1960-61,5,0.0,,0,0,-2
0,13,TOR,3,16,32,0,,NHL,0,39,,1961-62,0,7.7,SC,0,16,-2
0,3,TOR,1,10,33,0,,NHL,0,17,,1962-63,10,5.9,SC,0,4,0
0,4,TOR,0,20,34,0,,NHL,0,25,,1963-64,0,0.0,SC,0,4,2
0,2,TOR,0,13,35,0,,NHL,0,18,,1964-65,6,0.0,,0,2,2
0,0,TOR,1,12,36,0,,NHL,0,12,,1965-66,4,8.3,,0,1,-2
0,5,TOR,3,25,37,0,,NHL,0,25,,1966-67,0,12.0,SC,0,8,-4
0,0,TOR,0,7,39,0,,NHL,0,10,,1968-69,4,0.0,,0,0,-6
1,1,NYR,1,28,40,0,,NHL,0,13,,1969-70,6,7.7,,0,2,-3
1,4,NYR,1,14,41,0,,NHL,0,15,,1970-71,13,6.7,,0,5,1
0,1,PIT,0,2,42,0,,NHL,0,7,,1971-72,4,0.0,,0,1,1
0,1,BUF,0,4,43,0,,NHL,0,5,,1972-73,6,0.0,,0,1,-4
