power_play_goals,assists,points,power_play_assists,league,even_strength_assists,game_winning_goals,shorthanded_goals,shotsPercentage,games_played,average_ice_time,year,team,age,plus_minus,shorthanded_assists,even_strength_goals,pim,awards,total_ice_time,goals,shots
0,1,1,0,NHL,0,0,0,0,6,,1937-38,BOS,21,0,0,0,2,[],,0,0
0,1,1,0,NHL,0,0,0,0,6,,1938-39,BOS,22,0,0,0,0,[],,0,0
0,8,18,0,NHL,0,0,0,0,30,,1939-40,BOS,23,0,0,0,16,[],,10,0
0,1,1,0,NHL,0,0,0,0,8,,1940-41,BOS,24,0,0,0,0,[],,0,0
0,12,36,0,NHL,0,0,0,0,43,,1941-42,TOT,25,0,0,0,23,[],,24,0
0,3,9,0,NHL,0,0,0,0,9,,1941-42,BOS,25,0,0,0,2,[],,6,0
0,9,27,0,NHL,0,0,0,0,34,,1941-42,CBH,25,0,0,0,21,[],,18,0
0,16,44,0,NHL,0,0,0,0,0,,1942-43,CBH,26,0,0,0,44,[],,28,0
0,17,37,0,NHL,0,0,0,0,38,,1945-46,CBH,29,0,0,0,23,[],,20,0
0,19,40,0,NHL,0,0,0,0,60,,1946-47,CBH,30,0,0,0,12,[],,21,0
0,13,24,0,NHL,0,0,0,0,60,,1947-48,CBH,31,0,0,0,18,[],,11,0
0,4,12,0,NHL,0,0,0,0,57,,1948-49,CBH,32,0,0,0,16,[],,8,0
0,2,8,0,NHL,0,0,0,0,59,,1949-50,CBH,33,0,0,0,6,[],,6,0
0,0,0,0,NHL,0,0,0,0,2,,1950-51,CBH,34,0,0,0,0,[],,0,0
