age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
19,,3.7,1,7,-2,NHL,13,0,1975-76,0,27,1,,0,8,,NYI,8
20,,7.7,2,8,4,NHL,12,0,1976-77,0,26,2,,0,2,,NYI,10
21,,0.0,0,3,0,NHL,7,0,1977-78,0,18,0,,0,4,,NYI,3
22,,11.1,2,4,3,NHL,10,0,1978-79,1,18,2,,0,13,,NYI,6
23,SC,22.6,6,17,8,NHL,0,2,1979-80,2,53,0,,4,16,,NYI,0
24,SC,22.4,5,0,18,NHL,18,0,1980-81,1,49,11,,4,34,,NYI,29
25,SC,11.5,4,0,9,NHL,0,0,1981-82,2,52,6,,2,40,,NYI,0
26,SC,18.2,5,12,8,NHL,17,0,1982-83,1,44,8,,3,18,,NYI,20
27,,20.5,7,6,2,NHL,0,0,1983-84,0,39,8,,1,49,,NYI,14
28,,16.0,3,2,0,NHL,10,0,1984-85,1,25,4,,1,8,,NYI,6
29,,10.0,1,1,-1,NHL,3,0,1985-86,0,10,1,,0,2,,NYI,2
30,,17.4,5,5,-6,NHL,14,0,1986-87,2,46,8,,3,12,,NYI,13
31,,0.0,0,0,-9,NHL,6,0,1987-88,0,11,0,,0,10,,NYI,0
33,,14.3,1,0,-4,NHL,4,0,1989-90,0,7,1,,0,4,,NYI,1
34,SC,18.8,3,4,-1,NHL,23,0,1990-91,2,16,3,,0,49,,PIT,7
35,SC,13.3,4,3,0,NHL,0,0,1991-92,0,30,4,,0,8,,PIT,7
37,,0.0,0,0,0,NHL,2,0,1993-94,0,1,0,,0,0,,PIT,0
