age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
20,,9.1,4,0,-9,NHL,10,0,1981-82,1,44,4,,0,23,,LAK,4
23,,6.7,1,1,-2,NHL,3,0,1984-85,0,15,1,,0,9,,LAK,2
25,,12.5,1,5,1,NHL,5,0,1986-87,0,16,2,,1,6,,LAK,7
26,,9.1,1,6,-3,NHL,5,0,1987-88,0,22,2,,1,11,,LAK,8
27,,14.0,4,9,-2,NHL,11,0,1988-89,1,50,7,,3,12,,LAK,16
28,,23.3,4,5,1,NHL,10,0,1989-90,0,30,7,,3,16,,NYR,12
29,,16.7,4,3,0,NHL,5,0,1990-91,1,24,4,,0,8,,NYR,7
30,,25.0,4,11,2,NHL,16,0,1991-92,1,32,8,,4,25,,EDM,19
31,,0.0,0,0,-5,NHL,5,0,1992-93,0,3,0,,0,6,,NJD,0
32,,10.8,1,9,3,NHL,16,1,1993-94,0,37,4,,2,28,,NJD,13
33,,3.6,0,11,0,NHL,16,0,1994-95,0,28,1,,1,8,,CHI,12
34,,18.2,1,7,3,NHL,10,0,1995-96,0,11,2,,1,4,,CHI,9
36,,0.0,0,5,-2,NHL,6,0,1997-98,0,6,0,,0,8,,SJS,5
