power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,3,1,0,NHL,1986-87,20,0,EDM,,1,5,0,0,1,,SC,0.0,0
0,19,5,0,NHL,1989-90,23,0,EDM,,5,13,2,0,15,,SC,0.0,0
0,12,3,0,NHL,1990-91,24,2,EDM,,1,25,-3,0,12,,,16.7,2
0,16,5,0,NHL,1991-92,25,1,EDM,,4,32,2,0,12,,,8.3,1
0,12,7,1,NHL,1996-97,30,5,EDM,,2,16,-1,0,19,,,0,5
0,12,3,0,NHL,1997-98,31,1,EDM,,2,25,0,0,13,,,7.7,1
0,4,0,0,NHL,1998-99,32,0,EDM,10:06,0,0,-4,0,2,40,,0.0,0
0,4,0,0,NHL,1999-00,33,0,LAK,8:56,0,4,-1,0,1,36,,0.0,0
0,8,1,0,NHL,2000-01,34,1,LAK,9:58,0,2,-1,0,5,80,,20.0,1
0,7,0,0,NHL,2001-02,35,0,LAK,8:48,0,7,-3,0,2,62,,0.0,0
