assists,team,goals,year,games_played,points,pim,age,plus_minus,league
0,Boston A.A. Unicorns,9,1923-24,12,9,0,19,0,USAHA
0,Boston A.A. Unicorns,14,1924-25,18,14,0,20,0,USAHA
4,New Haven Eagles,21,1926-27,32,25,36,22,0,Can-Am
5,New Haven Eagles,13,1927-28,16,18,22,23,0,Can-Am
3,Providence Reds,5,1928-29,31,8,44,24,0,Can-Am
6,Providence Reds,11,1929-30,37,17,51,25,0,Can-Am
16,Providence Reds,8,1930-31,39,24,41,26,0,Can-Am
20,Providence Reds,15,1931-32,39,35,44,27,0,Can-Am
12,Providence Reds,11,1932-33,22,23,20,28,0,Can-Am
19,Providence Reds,13,1933-34,40,32,26,29,0,Can-Am
32,Providence Reds,17,1934-35,46,49,32,30,0,Can-Am
3,Providence Reds,12,1935-36,45,15,22,31,0,Can-Am
