power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,4,0,0,NHL,1981-82,25,0,EDM,,0,0,-2,0,5,,,0.0,0
0,16,6,1,NHL,1982-83,26,2,EDM,,4,13,14,1,16,,,12.5,1
0,19,10,1,NHL,1983-84,27,3,EDM,,7,21,16,0,32,,SC,9.4,3
0,17,6,0,NHL,1984-85,28,0,EDM,,6,12,19,0,17,,SC,0.0,0
0,10,1,0,NHL,1985-86,29,1,EDM,,0,12,3,0,6,,,16.7,1
1,18,9,1,NHL,1986-87,30,3,EDM,,6,17,8,0,29,,SC,10.3,2
0,19,9,1,NHL,1987-88,31,1,EDM,,8,24,0,0,22,,SC,4.5,1
0,7,1,0,NHL,1988-89,32,1,EDM,,0,4,4,0,8,,,12.5,1
1,20,8,0,NHL,1989-90,33,2,EDM,,6,16,1,0,17,,SC,11.8,1
0,7,1,0,NHL,1991-92,35,0,VAN,,1,8,3,0,3,,,0.0,0
