assists,team,goals,year,games_played,points,pim,age,plus_minus,league
0,Toronto Young Rangers,0,1939-40,2,0,0,14,0,OHA-Jr.
0,Toronto Young Rangers,0,1940-41,5,0,0,15,0,OHA-Jr.
1,Toronto Kodaks,0,1941-42,5,1,0,16,0,TMHL
5,Toronto Young Rangers,2,1941-42,6,7,0,16,0,OHA-Jr.
3,Cornwallis Navy,2,1944-45,3,5,0,19,0,NSDHL
5,Pittsburgh Hornets,3,1946-47,12,8,13,21,0,AHL
0,Pittsburgh Hornets,0,1947-48,2,0,5,22,0,AHL
6,Providence Reds,3,1948-49,14,9,6,23,0,AHL
2,Providence Reds,2,1949-50,4,4,0,24,0,AHL
2,New Westminster Royals,1,1952-53,7,3,2,27,0,WHL
3,New Westminster Royals,2,1953-54,7,5,8,28,0,WHL
9,Kitchener Dutchmen,5,1954-55,10,14,6,29,0,OHA-Sr.
10,Kitchener Dutchmen,4,1954-55,17,14,4,29,0,Al-Cup
3,Owen Sound Mercurys,0,1955-56,6,3,0,30,0,OHA-Sr.
