goalie_point_share,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,awards,saves
0,0,WHA,27,CNS,1215,22,0,104,1,86,0,-3.68,0,0,0,1,0,0,0,.870,1977-78,663,4.25,0,[],577
0,0,WHA,54,CNS,3181,23,0,99,2,0,0,1.35,0,0,0,2,0,0,0,.882,1978-79,1556,3.47,9,[],1372
11.3,0,NHL,64,STL,3661,24,23,0,0,194,0,0,9,2,0,0,0,0,0,0,1979-80,0,3.18,2,"[{'link': '/awards/voting-1980.html#AS', 'name': 'AS-3'}, {'link': '/awards/voting-1980.html#hart', 'name': 'Hart-6'}]",0
11.6,0,NHL,61,STL,3570,25,14,0,0,199,0,0,13,1,33,0,0,0,0,0,1980-81,0,3.34,0,"[{'link': '/awards/nhl_all_star.html#1981', 'name': None}, {'link': '/awards/voting-1981.html#hart', 'name': 'Hart-2'}, {'link': '/awards/pearson.html#1981', 'name': None}]",0
9.6,0,NHL,0,STL,0,26,28,0,2,0,0,0,7,2,28,2,0,0,0,0,1981-82,0,4.06,2,"[{'link': '/awards/voting-1982.html#AS', 'name': 'AS-9'}]",0
10.7,0,NHL,0,STL,0,27,27,0,0,235,0,0,0,1,21,0,0,0,0,0,1982-83,0,3.72,2,[],0
10.4,0,NHL,58,STL,3425,28,29,92,4,197,0,17.70,4,3,25,4,0,0,0,.884,1983-84,1697,3.45,0,"[{'link': '/awards/voting-1984.html#AS', 'name': 'AS-8'}, {'link': '/awards/voting-1984.html#vezina', 'name': 'Vezina-10'}]",1500
9.1,0,NHL,45,TOT,2660,29,19,89,1,157,0,19.97,7,2,17,1,0,0,0,.889,1984-85,1411,3.54,6,[],1254
5.7,0,NHL,32,STL,1869,29,12,96,1,119,0,5.42,6,1,12,1,0,0,0,.880,1984-85,992,3.82,4,[],873
3.3,0,NHL,13,HAR,791,29,7,72,0,38,0,14.55,1,1,5,0,0,0,0,.909,1984-85,419,2.88,2,[],381
8.3,0,NHL,57,HAR,3282,30,23,100,2,198,0,-0.11,4,2,27,2,0,0,0,.874,1985-86,1574,3.62,0,"[{'link': '/awards/voting-1986.html#AS', 'name': 'AS-8'}, {'link': '/awards/voting-1986.html#vezina', 'name': 'Vezina-7'}]",1376
9.5,0,NHL,59,HAR,3476,31,22,96,2,187,0,7.94,5,0,31,2,0,0,0,.885,1986-87,1625,3.23,4,"[{'link': '/awards/nhl_all_star.html#1987', 'name': None}, {'link': '/awards/voting-1987.html#hart', 'name': 'Hart-3'}, {'link': '/awards/voting-1987.html#vezina', 'name': 'Vezina-2'}]",1438
9.3,0,NHL,60,HAR,3532,32,28,96,1,187,0,7.67,5,2,25,1,0,0,0,.885,1987-88,1620,3.18,4,"[{'link': '/awards/voting-1988.html#AS', 'name': 'AS-12'}, {'link': '/awards/voting-1988.html#vezina', 'name': 'Vezina-12'}]",1433
4.1,0,NHL,35,HAR,2006,33,19,115,0,142,0,-18.15,1,1,13,0,0,0,0,.862,1988-89,1027,4.25,0,[],885
7.0,0,NHL,37,TOT,2161,34,16,80,0,91,0,23.35,1,0,19,0,0,0,0,.905,1989-90,962,0,0,"[{'link': '/awards/voting-1990.html#AS', 'name': 'AS-4'}, {'link': '/awards/voting-1990.html#vezina', 'name': 'Vezina-5'}]",871
5.1,0,NHL,29,HAR,1683,34,12,84,0,74,0,14.56,1,3,15,0,0,0,0,.901,1989-90,745,2.64,0,"[{'link': '/awards/voting-1990.html#AS', 'name': 'AS-4'}, {'link': '/awards/voting-1990.html#vezina', 'name': 'Vezina-5'}]",671
1.8,0,NHL,8,WSH,478,34,4,0,0,17,0,0,0,1,4,0,0,0,0,.922,1989-90,217,2.13,0,"[{'link': '/awards/voting-1990.html#AS', 'name': 'AS-4'}, {'link': '/awards/voting-1990.html#vezina', 'name': 'Vezina-5'}]",200
2.3,0,NHL,35,WSH,1834,35,16,127,0,114,0,-24.41,3,0,13,0,0,0,0,.855,1990-91,786,3.73,0,[],672
2.4,0,NHL,21,WSH,1123,36,7,112,1,70,0,-7.59,2,1,10,1,0,0,0,.875,1991-92,558,3.74,2,[],488
