won,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,saves
,0,WHA,3,CNS,179,23,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1978-79,0,3.35,0,0
,0,NHL,3,STL,193,24,3,0,0,12,0,0,0,0,0,0,0,0,0,0,1979-80,0,3.73,0,0
,0,NHL,11,STL,685,25,6,0,0,50,0,0,0,0,5,0,0,0,0,0,1980-81,0,4.38,0,0
,0,NHL,10,STL,494,26,3,0,0,27,0,0,0,0,5,0,0,0,0,0,1981-82,0,3.28,0,0
,0,NHL,4,STL,240,27,3,0,0,15,0,0,0,0,1,0,0,0,0,0,1982-83,0,3.75,0,0
,0,NHL,11,STL,714,28,5,78,0,29,0,8.17,0,1,6,0,0,0,0,.920,1983-84,362,2.44,0,333
,0,NHL,8,HAR,441,30,2,59,0,14,0,9.70,0,0,5,0,0,0,0,0,1985-86,226,0,0,212
,0,NHL,6,HAR,332,31,4,155,0,25,0,-8.87,0,0,2,0,0,0,0,.843,1986-87,159,4.52,2,134
,0,NHL,3,HAR,160,32,1,0,0,11,0,0,0,0,1,0,0,0,0,.866,1987-88,82,4.13,0,71
,0,NHL,9,WSH,507,34,4,114,0,28,0,-3.41,0,0,4,0,0,0,0,.874,1989-90,223,3.31,0,195
,0,NHL,2,WSH,48,35,1,0,0,4,0,0,0,0,0,0,0,0,0,.867,1990-91,30,5.00,0,26
