giveaways,league,games_played,game_winning_goals,age,faceoff_loses,total_shots,shots,points,hits,power_play_assists,total_ice_time,team,takeaways,faceoff_percentage,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,faceoff_wins,shorthanded_goals,year,blocks,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
1,NHL,9,0,19,11,17,9,0,0,0,81,COL,1,54.2,[],0.0,0,0,-7,0,13,0,2015-16,11,8:57,0,2,0,0
32,NHL,75,2,20,21,242,133,38,29,6,1354,COL,49,58.0,[],15.0,16,18,-25,20,29,0,2016-17,33,18:03,4,22,0,12
